,agerank2,Variety,variety2,Clade,agerank,Nutrient,soil,rep,id,Notes.,tuber,tuber2,tuber3,root,wgt_avg,obs,rel_biomass2
51,1,HAO 58-19,HAO 58,bert,1,Low,Virgin,3,97,,NA,0,0,11.65,30.43782609,23,0
52,1,HHA 6451-3,HHA 6451,bert,1,Low,Sterile,3,280,,40.54,40.54,40.54,11.38,30.43782609,23,1.331895382
53,1,HAO 58-3,HAO 58,bert,1,Low,Sterile,3,164,,15.35,15.35,15.35,15.5,30.43782609,23,0.504306712
54,1,HAO 76-11,HAO 76,bert,1,Low,Hancock,3,45,,20.33,20.33,20.33,0.52,30.43782609,23,0.667918922
55,2,EBS 1797,EBS 1797,and,2,High,Hancock,1,43,,NA,0,0,10.33,15.10774194,31,0
56,2,EBS 1797,EBS 1797,and,2,High,Sterile,4,117,,NA,0,0,8.06,15.10774194,31,0
57,2,EBS 1797,EBS 1797,and,2,High,Virgin,2,92,,NA,0,0,10.39,15.10774194,31,0
58,2,Huagalina,Huagalina,and,2,High,Hancock,1,222,,NA,0,0,12.82,15.10774194,31,0
59,2,Huagalina,Huagalina,and,2,High,Hancock,2,273,,NA,0,0,15.53,15.10774194,31,0
60,2,Huagalina,Huagalina,and,2,High,Hancock,4,307,,NA,0,0,60.26,15.10774194,31,0
61,2,Huagalina,Huagalina,and,2,High,Sterile,1,181,,NA,0,0,17.68,15.10774194,31,0
62,2,Huagalina,Huagalina,and,2,High,Sterile,4,355,,NA,0,0,9.76,15.10774194,31,0
63,2,Huagalina,Huagalina,and,2,High,Virgin,1,19,,NA,0,0,13.11,15.10774194,31,0
64,2,Huagalina,Huagalina,and,2,High,Virgin,2,134,,NA,0,0,9.37,15.10774194,31,0
65,2,Huagalina,Huagalina,and,2,Low,Sterile,2,174,,NA,0,0,12.68,15.10774194,31,0
66,2,Huagalina,Huagalina,and,2,Low,Virgin,2,77,,NA,0,0,6.5,15.10774194,31,0
67,2,WAC 5,WAC 5,and,2,High,Hancock,3,353,,NA,0,0,4.41,15.10774194,31,0
68,2,WAC 5,WAC 5,and,2,High,Sterile,3,283,,NA,0,0,51.85,15.10774194,31,0
69,2,WAC 5,WAC 5,and,2,High,Sterile,4,289,,NA,0,0,11.56,15.10774194,31,0
70,2,WAC 5,WAC 5,and,2,High,Sterile,2,305,,NA,0,0,18.26,15.10774194,31,0
71,2,WAC 5,WAC 5,and,2,High,Virgin,3,64,,NA,0,0,9.4,15.10774194,31,0
72,2,WAC 5,WAC 5,and,2,High,Virgin,1,78,,NA,0,0,8.61,15.10774194,31,0
73,2,WAC 663,WAC 663,and,2,High,Hancock,1,169,,NA,0,0,10.97,15.10774194,31,0
74,2,WAC 663,WAC 663,and,2,High,Hancock,3,400,,NA,0,0,5.71,15.10774194,31,0
75,2,WAC 663,WAC 663,and,2,High,Sterile,4,83,,NA,0,0,9.4,15.10774194,31,0
76,2,WAC 663,WAC 663,and,2,High,Sterile,2,240,,NA,0,0,14.87,15.10774194,31,0
77,2,WAC 663,WAC 663,and,2,High,Virgin,4,13,,NA,0,0,6.37,15.10774194,31,0
78,2,WAC 663,WAC 663,and,2,High,Virgin,1,93,,NA,0,0,5.22,15.10774194,31,0
79,2,Wac 735,Wac 735,and,2,High,Hancock,3,104,,NA,0,0,19.85,15.10774194,31,0
80,2,Wac 735,Wac 735,and,2,High,Hancock,1,121,,NA,0,0,25.52,15.10774194,31,0
81,2,Wac 735,Wac 735,and,2,High,Hancock,4,381,,NA,0,0,8.94,15.10774194,31,0
82,2,Wac 735,Wac 735,and,2,High,Sterile,1,62,,NA,0,0,13.95,15.10774194,31,0
