Variety,variety2,Clade,agerank,agerank2,Nutrient,soil,rep,id,Notes:,tuber,tuber2,tuber3,root
Cor C. 135-19,Cor C 135,chil,3,3,Low,Virgin,3,287,,96.69,96.69,96.69,1.45
Burbank,Burbank,elite,5,5,Low,Sterile,3,248,,97.09,97.09,97.09,1.31
Norkodah,Norkodah,elite,6,5,High,Sterile,2,200,,99.19,99.19,99.19,1.07
Garnet-7,Garnet,chil,4,4,High,Sterile,3,145,,99.51,99.51,99.51,1.35
Snowden,Snowden,elite,6,5,High,Virgin,2,366,,100.3,100.3,100.3,9.91
P. Cacho-10,P. Cacho,chil,3,3,Low,Hancock,2,141,,100.78,100.78,100.78,0.95
Garnet-6,Garnet,chil,4,4,High,Sterile,2,360,,100.8,100.8,100.8,3.29
P. Cacho-11,P. Cacho,chil,3,3,Low,Hancock,3,359,,100.8,100.8,100.8,1.16
Burbank,Burbank,elite,5,5,High,Sterile,1,347,,,0,100.95,4.11
Cor C. 135-22,Cor C 135,chil,3,3,High,Virgin,2,402,,,0,101.84,0.73
P. Cacho-2,P. Cacho,chil,3,3,Low,Sterile,2,369,,102.25,102.25,102.25,1.25
Burbank,Burbank,elite,5,5,High,Hancock,3,323,,102.34,102.34,102.34,4.47
Burbank,Burbank,elite,5,5,Low,Hancock,1,219,,103.03,103.03,103.03,0.81
HAO 76-6,HAO 76,bert,1,1,High,Sterile,2,408,,105.27,105.27,105.27,6.7
Norkodah,Norkodah,elite,6,5,High,Sterile,3,86,,112.25,112.25,112.25,1.28
Burbank,Burbank,elite,5,5,High,Hancock,4,113,,113.55,113.55,113.55,5.85
Norkodah,Norkodah,elite,6,5,High,Sterile,4,365,,115.09,115.09,115.09,0.62
Cor C.95-20,Cor C95,chil,3,3,Low,Virgin,4,188,,116.25,116.25,116.25,6.63
P. Cacho-16,P. Cacho,chil,3,3,High,Hancock,4,317,,116.85,116.85,116.85,4.18
Ranger,Ranger,elite,6,5,High,Sterile,3,299,,118.12,118.12,118.12,1.55
P. Cacho-19,P. Cacho,chil,3,3,Low,Virgin,3,339,,118.65,118.65,118.65,1.51
Garnet-13,Garnet,chil,4,4,High,Hancock,1,157,,118.89,118.89,118.89,4.34
HHA 6451-1,HHA 6451,bert,1,1,Low,Sterile,1,40,,,0,119,2.79
EBS 1797,EBS 1797,and,2,2,High,Virgin,3,269,,123.55,123.55,123.55,19.14
Snowden,Snowden,elite,6,5,High,Hancock,1,168,,123.83,123.83,123.83,8.84
Burbank,Burbank,elite,5,5,High,Hancock,1,131,,124.32,124.32,124.32,7.37
Garnet-20,Garnet,chil,4,4,Low,Virgin,4,336,,125.37,125.37,125.37,2
Norkodah,Norkodah,elite,6,5,High,Virgin,2,57,,128.8,128.8,128.8,0.89
Garnet-23,Garnet,chil,4,4,High,Virgin,3,296,,135.28,135.28,135.28,4.96
Cor C.56-6,Cor C56,chil,3,3,High,Sterile,2,313,,136.07,136.07,136.07,10.1
Garnet-15,Garnet,chil,4,4,High,Hancock,3,399,,,0,136.16,5.06
Burbank,Burbank,elite,5,5,High,Sterile,3,142,,137.02,137.02,137.02,7.81
Ranger,Ranger,elite,6,5,High,Sterile,1,63,,137.78,137.78,137.78,4.13
Snowden,Snowden,elite,6,5,High,Sterile,1,321,,140.02,140.02,140.02,9
Burbank,Burbank,elite,5,5,High,Virgin,1,132,,142.23,142.23,142.23,11.09
Cor C.95-11,Cor C95,chil,3,3,Low,Hancock,3,36,Flowering,30.26,30.26,143.21,6.92
Garnet-21,Garnet,chil,4,4,High,Virgin,1,221,,148.48,148.48,148.48,4.08
Snowden,Snowden,elite,6,5,High,Virgin,4,186,,149.13,149.13,149.13,6.24
Garnet-4,Garnet,chil,4,4,Low,Sterile,4,394,,150.91,150.91,150.91,1.73
Burbank,Burbank,elite,5,5,High,Virgin,2,343,,156.24,156.24,156.24,7.6
P. Cacho-22,P. Cacho,chil,3,3,High,Virgin,2,350,,157.52,157.52,157.52,2.49
Burbank,Burbank,elite,5,5,High,Virgin,4,114,,161.11,161.11,161.11,4.78
Burbank,Burbank,elite,5,5,High,Sterile,2,407,,162.18,162.18,162.18,5.72
Garnet-14,Garnet,chil,4,4,High,Hancock,2,311,,166.3,166.3,166.3,4.95
Norkodah,Norkodah,elite,6,5,High,Virgin,4,197,,167,167,167,0.72
Burbank,Burbank,elite,5,5,High,Hancock,2,309,,174.46,174.46,174.46,8.62
Snowden,Snowden,elite,6,5,High,Hancock,3,258,,177,177,177,5.31
Ranger,Ranger,elite,6,5,High,Virgin,3,247,,180.09,180.09,180.09,1.09
Ranger,Ranger,elite,6,5,High,Virgin,1,12,,181.68,181.68,181.68,3.14
Burbank,Burbank,elite,5,5,High,Sterile,4,243,,191.05,191.05,191.05,7.32
Ranger,Ranger,elite,6,5,High,Virgin,4,120,,193.56,193.56,193.56,2.12
Ranger,Ranger,elite,6,5,High,Sterile,2,162,,198.56,198.56,198.56,3.45
Norkodah,Norkodah,elite,6,5,High,Virgin,1,364,,202.1,202.1,202.1,0.84
Ranger,Ranger,elite,6,5,High,Virgin,2,136,,228.93,228.93,228.93,2.17
