Variety,Clade,Nutrient,Soil,Replicate (1-4),Random ID,Stem_width,Shoot_length,Initial_shoot_Length,initial_Nodes,Tubermass ,Biomass_shoots,Biomass_Roots ,Sterile_avg,Rel_shoot,Rel_tubers
Burbank,Elite,Low,Hancock,4,91,6.99,30,6,8,84.11,2.6,0.86,,,
Ranger,Elite,Low,Hancock,4,96,7.78,20,8.5,6,62.21,1.51,0.55,,,
Snowden,Elite,Low,Hancock,1,165,8.2,26,10,7,60.92,3.89,2.31,,,
Snowden,Elite,Low,Hancock,3,199,5.69,17,11,9,86.77,2.16,1.01,,,
Norkodah,Elite,Low,Hancock,3,213,6.44,13,12,7,94.5,2.1,1.23,,,
Burbank,Elite,Low,Hancock,1,219,5.16,28,8,6,103.03,2.1,0.81,,,
Snowden,Elite,Low,Hancock,2,236,5.58,12,9.5,9,67.47,1.21,0.66,,,
Ranger,Elite,Low,Hancock,2,282,7.3,15,6.5,9,52.94,1.75,52.01,,,
Burbank,Elite,Low,Hancock,2,331,6.97,25,8.5,6,84.91,2.88,0.71,,,
Norkodah,Elite,Low,Hancock,4,345,6.84,17,11,9,63.84,3.4,0.35,,,
Norkodah,Elite,Low,Hancock,2,358,7.66,23,12.5,10,70.77,2.93,0.24,,,
Norkodah,Elite,Low,Sterile,1,79,4.11,24,11,9,51.87,0.92,0.56,,,
Norkodah,Elite,Low,Sterile,2,108,4.3,11,10,7,56.59,0.57,0.23,,,
Ranger,Elite,Low,Sterile,3,133,7.72,18,7,5,70.37,2.32,2.11,,,
Snowden,Elite,Low,Sterile,3,137,6.53,23,9,6,64.75,1.98,1.91,,,
Ranger,Elite,Low,Sterile,1,152,5.58,15,8,4,39.26,1.43,0.42,,,
Snowden,Elite,Low,Sterile,4,183,9.2,56,11,5,45.32,1.29,0.57,,,
Burbank,Elite,Low,Sterile,1,198,5.19,24,10.5,10,83.16,2.86,0.72,,,
Snowden,Elite,Low,Sterile,1,226,5.59,18,12,11,60.15,1.29,0.51,,,
Norkodah,Elite,Low,Sterile,3,228,4.13,12,11,10,55.9,0.97,0.47,,,
Snowden,Elite,Low,Sterile,2,237,6.43,12,11,9,76.16,1.81,1.37,,,
Burbank,Elite,Low,Sterile,3,248,6.25,20,10.5,8,97.09,2.74,1.31,,,
Burbank,Elite,Low,Sterile,2,261,4.57,25,9.5,10,66.5,2.03,0.49,,,
Ranger,Elite,Low,Sterile,4,291,4.93,13,7,5,80.36,2.22,0.83,,,
Ranger,Elite,Low,Sterile,2,302,5.95,15,5,5,60.85,1.72,0.76,,,
Burbank,Elite,Low,Sterile,4,403,6.46,30,8.5,9,60.64,3.02,0.27,,,
Snowden,Elite,Low,Virgin,4,94,4.35,24,10,8,83.82,2.47,1.86,,,
Snowden,Elite,Low,Virgin,2,106,4.42,24,9,15,48.69,1.8,0.91,,,
Snowden,Elite,Low,Virgin,1,107,4.26,21,9.5,13,50.61,1.58,1.53,,,
Burbank,Elite,Low,Virgin,1,140,3.59,52,7.5,9,60.94,2.93,1.6,,,
Ranger,Elite,Low,Virgin,3,144,5.28,17,10.5,5,39.2,1.81,0.32,,,
Norkodah,Elite,Low,Virgin,4,170,6.07,19,11.5,8,81.82,2.13,0.29,,,
Norkodah,Elite,Low,Virgin,2,173,5.38,25,13,9,82.55,1.7,0.5,,,
Ranger,Elite,Low,Virgin,4,195,4.26,18,8,7,68.95,1.56,0.66,,,
Snowden,Elite,Low,Virgin,3,208,6.7,33,8.5,10,56.67,1.58,0.35,,,
Ranger,Elite,Low,Virgin,2,235,6.25,12,7.5,4,40.89,1.25,0.4,,,
Burbank,Elite,Low,Virgin,3,246,7.68,23,8.5,8,94.82,2.51,1.44,,,
Norkodah,Elite,Low,Virgin,1,254,4.72,18,15.5,9,62.93,1.63,,,,
Burbank,Elite,Low,Virgin,4,272,5.53,28,10.5,8,80.51,2.75,0.76,,,
Norkodah,Elite,Low,Virgin,3,354,6.67,25,14.5,7,81.36,1.92,0.31,,,
Burbank,Elite,Low,Virgin,2,380,4.32,28,10.5,9,,2.41,1.27,,,
