Variety,variety2,Clade,agerank,agerank2,agerank3,Nutrient,soil,rep,sample_ID,sunlight,Notes:,tuber,tuber2,tuber3,root,dry_tuber
P. Cacho-21,P. Cacho,chil,3,3,1,High,Virgin,1,56,1,,18.94,18.94,18.94,8.12,4.376315782
P. Cacho-22,P. Cacho,chil,3,3,1,High,Virgin,2,350,5,,157.52,157.52,157.52,2.49,28.29
P. Cacho-24,P. Cacho,chil,3,3,1,High,Virgin,4,123,2,,49.96,49.96,49.96,12.97,11.54386148
P. Cacho-3,P. Cacho,chil,3,3,1,Low,Sterile,3,404,5,,,0,89.81,1.17,23.98
P. Cacho-4,P. Cacho,chil,3,3,1,Low,Sterile,4,327,4,,88.36,88.36,88.36,1.56,20.41664533
P. Cacho-5,P. Cacho,chil,3,3,1,High,Sterile,1,52,1,,30.65,30.65,30.65,8.66,7.92
P. Cacho-6,P. Cacho,chil,3,3,1,High,Sterile,2,26,1,,,0,0,9.96,0
P. Cacho-7,P. Cacho,chil,3,3,1,High,Sterile,3,277,4,,67.45,67.45,67.45,11.12,13.95
P. Cacho-8,P. Cacho,chil,3,3,1,High,Sterile,4,100,2,,22.34,22.34,22.34,21.16,5.161926852
P. Cacho-9,P. Cacho,chil,3,3,1,Low,Hancock,1,82,1,,66.62,66.62,66.62,1.25,15.39335572
Burbank,Burbank,elite,5,4,1,High,Virgin,3,30,1,,45.98,45.98,45.98,9.67,11.27426538
Burbank,Burbank,elite,5,4,1,Low,Hancock,4,91,1,,84.11,84.11,84.11,0.86,20.62368789
Burbank,Burbank,elite,5,4,1,High,Hancock,4,113,2,,113.55,113.55,113.55,5.85,27.84234645
Burbank,Burbank,elite,5,4,1,High,Virgin,4,114,2,,161.11,161.11,161.11,4.78,39.50401089
Burbank,Burbank,elite,5,4,1,High,Hancock,1,131,2,,124.32,124.32,124.32,7.37,30.48313968
Burbank,Burbank,elite,5,4,1,High,Virgin,1,132,2,,142.23,142.23,142.23,11.09,34.87465377
Burbank,Burbank,elite,5,4,1,High,Sterile,4,243,3,,191.05,191.05,191.05,7.32,46.84526895
Burbank,Burbank,elite,5,4,1,Low,Sterile,3,248,3,,97.09,97.09,97.09,1.31,23.80637091
Burbank,Burbank,elite,5,4,1,Low,Sterile,2,261,3,,66.5,66.5,66.5,0.49,16.3057335
Burbank,Burbank,elite,5,4,1,Low,Hancock,2,331,4,,84.91,84.91,84.91,0.71,20.81984709
Burbank,Burbank,elite,5,4,1,High,Virgin,2,343,5,,156.24,156.24,156.24,7.6,38.30989176
Burbank,Burbank,elite,5,4,1,High,Sterile,2,407,5,,162.18,162.18,162.18,5.72,39.76637382
Burbank,Burbank,elite,5,4,1,High,Hancock,2,309,4,,174.46,174.46,174.46,8.62,30.72
Burbank,Burbank,elite,5,4,1,High,Sterile,3,142,2,,137.02,137.02,137.02,7.81,27.22
Burbank,Burbank,elite,5,4,1,High,Sterile,1,347,5,,,0,100.95,4.11,20.45
Burbank,Burbank,elite,5,4,1,Low,Hancock,1,219,3,,103.03,103.03,103.03,0.81,23.11
Burbank,Burbank,elite,5,4,1,High,Hancock,3,323,4,,102.34,102.34,102.34,4.47,25.53
Burbank,Burbank,elite,5,4,1,Low,Sterile,1,198,3,,83.16,83.16,83.16,0.72,21.43
Burbank,Burbank,elite,5,4,1,Low,Virgin,4,272,4,,80.51,80.51,80.51,0.76,20.81
Burbank,Burbank,elite,5,4,1,Low,Virgin,3,246,3,,94.82,94.82,94.82,1.44,25.44
Burbank,Burbank,elite,5,4,1,Low,Sterile,4,403,5,,,0,60.64,0.27,17.32
Burbank,Burbank,elite,5,4,1,Low,Virgin,1,140,2,,60.94,60.94,60.94,1.6,20.16
Burbank,Burbank,elite,5,4,1,Low,Virgin,2,380,5,,,0,0,1.27,0
Norkodah,Norkodah,elite,6,4,1,High,Hancock,2,39,1,,119,119,119,1.06,25.99029716
Norkodah,Norkodah,elite,6,4,1,High,Virgin,2,57,1,,128.8,128.8,128.8,0.89,28.13067457
Norkodah,Norkodah,elite,6,4,1,Low,Sterile,2,108,2,,56.59,56.59,56.59,0.23,12.35958753
Norkodah,Norkodah,elite,6,4,1,Low,Virgin,2,173,3,Yellow,82.55,82.55,82.55,0.5,18.02940362
Norkodah,Norkodah,elite,6,4,1,High,Virgin,4,197,3,,167,167,167,0.72,36.47377837
Norkodah,Norkodah,elite,6,4,1,High,Sterile,2,200,3,,99.19,99.19,99.19,1.07,21.6636771
Norkodah,Norkodah,elite,6,4,1,Low,Virgin,3,354,5,,81.36,81.36,81.36,0.31,17.76950065
Norkodah,Norkodah,elite,6,4,1,High,Sterile,4,365,5,,115.09,115.09,115.09,0.62,25.13633025
Norkodah,Norkodah,elite,6,4,1,High,Virgin,1,364,5,,202.1,202.1,202.1,0.84,32.35
Norkodah,Norkodah,elite,6,4,1,Low,Hancock,4,345,5,,63.84,63.84,63.84,0.35,10.29
Norkodah,Norkodah,elite,6,4,1,High,Sterile,3,86,1,,112.25,112.25,112.25,1.28,18.64
Norkodah,Norkodah,elite,6,4,1,Low,Hancock,3,213,3,,94.5,94.5,94.5,1.23,20.07
Norkodah,Norkodah,elite,6,4,1,Low,Virgin,4,170,3,,81.82,81.82,81.82,0.29,18.41
Norkodah,Norkodah,elite,6,4,1,Low,Hancock,2,358,5,,70.77,70.77,70.77,0.24,16.56
Norkodah,Norkodah,elite,6,4,1,Low,Sterile,1,79,1,,51.87,51.87,51.87,0.56,12.54
Norkodah,Norkodah,elite,6,4,1,Low,Sterile,3,228,3,,55.9,55.9,55.9,0.47,13.74
Norkodah,Norkodah,elite,6,4,1,Low,Virgin,1,254,3,,62.93,62.93,62.93,,20.1
Norkodah,Norkodah,elite,6,4,1,High,Virgin,3,209,3,,,0,0,3.16,0
Ranger,Ranger,elite,6,4,1,High,Virgin,1,12,1,,181.68,181.68,181.68,3.14,37.47185612
Ranger,Ranger,elite,6,4,1,High,Hancock,2,35,1,,143.21,143.21,143.21,1.89,29.53734321
Ranger,Ranger,elite,6,4,1,Low,Hancock,1,51,1,,44.27,44.27,44.27,0.37,9.130774275
Ranger,Ranger,elite,6,4,1,High,Sterile,1,63,1,,137.78,137.78,137.78,4.13,28.41739507
Ranger,Ranger,elite,6,4,1,Low,Hancock,3,90,1,,46.76,46.76,46.76,0.45,9.644341655
Ranger,Ranger,elite,6,4,1,High,Virgin,2,136,2,,228.93,228.93,228.93,2.17,47.21726123
Ranger,Ranger,elite,6,4,1,Low,Virgin,3,144,2,,39.2,39.2,39.2,0.32,8.085076837
Ranger,Ranger,elite,6,4,1,Low,Sterile,1,152,2,,39.26,39.26,39.26,0.42,8.097451954
Ranger,Ranger,elite,6,4,1,High,Sterile,2,162,2,,198.56,198.56,198.56,3.45,40.9533892
Ranger,Ranger,elite,6,4,1,Low,Virgin,4,195,3,,68.95,68.95,68.95,0.66,14.22107265
Ranger,Ranger,elite,6,4,1,Low,Hancock,2,282,4,,52.94,52.94,52.94,52.01,10.91897877
Ranger,Ranger,elite,6,4,1,High,Hancock,4,298,4,,83.2,83.2,83.2,0.43,17.16016308
Ranger,Ranger,elite,6,4,1,High,Sterile,3,299,4,,118.12,118.12,118.12,1.55,24.36248153
Ranger,Ranger,elite,6,4,1,Low,Sterile,2,302,4,,,0,60.85,0.76,12.55043177
Ranger,Ranger,elite,6,4,1,Low,Sterile,4,291,4,,80.36,80.36,80.36,0.83,5.1
Ranger,Ranger,elite,6,4,1,High,Virgin,3,247,3,,180.09,180.09,180.09,1.09,17.03
Ranger,Ranger,elite,6,4,1,High,Virgin,4,120,2,,193.56,193.56,193.56,2.12,23.95
Ranger,Ranger,elite,6,4,1,Low,Virgin,2,235,3,,40.89,40.89,40.89,0.4,12.32
Ranger,Ranger,elite,6,4,1,Low,Hancock,4,96,1,,62.21,62.21,62.21,0.55,20.08
Ranger,Ranger,elite,6,4,1,Low,Sterile,3,133,2,,70.37,70.37,70.37,2.11,23.34
Snowden,Snowden,elite,6,4,1,High,Virgin,1,73,1,,67.48,67.48,67.48,8.08,18.38934909
Snowden,Snowden,elite,6,4,1,Low,Virgin,1,107,2,,,0,50.61,1.53,0
Snowden,Snowden,elite,6,4,1,High,Virgin,4,186,3,,149.13,149.13,149.13,6.24,40.64024348
Snowden,Snowden,elite,6,4,1,Low,Hancock,3,199,3,,86.77,86.77,86.77,1.01,23.64617399
Snowden,Snowden,elite,6,4,1,Low,Virgin,3,208,3,,,0,56.67,0.35,15.44345603
Snowden,Snowden,elite,6,4,1,High,Sterile,1,321,4,,140.02,140.02,140.02,9,38.15762685
Snowden,Snowden,elite,6,4,1,High,Sterile,4,395,5,,85.04,85.04,85.04,5.68,23.17472209
Snowden,Snowden,elite,6,4,1,Low,Sterile,2,237,3,,76.16,76.16,76.16,1.37,4.79
Snowden,Snowden,elite,6,4,1,High,Hancock,1,168,2,,123.83,123.83,123.83,8.84,19.71
Snowden,Snowden,elite,6,4,1,High,Hancock,3,258,3,,177,177,177,5.31,35.6
Snowden,Snowden,elite,6,4,1,High,Sterile,3,275,4,,77.9,77.9,77.9,4.79,18.32
Snowden,Snowden,elite,6,4,1,High,Virgin,2,366,5,,100.3,100.3,100.3,9.91,24.49
Snowden,Snowden,elite,6,4,1,Low,Hancock,2,236,3,,67.47,67.47,67.47,0.66,16.48
Snowden,Snowden,elite,6,4,1,Low,Sterile,1,226,3,,,0,60.15,0.51,14.85
Snowden,Snowden,elite,6,4,1,Low,Sterile,3,137,2,,,0,64.75,1.91,16.72
Snowden,Snowden,elite,6,4,1,Low,Virgin,4,94,1,,,0,83.82,1.86,22.31
Snowden,Snowden,elite,6,4,1,High,Hancock,2,384,5,,55.14,55.14,55.14,6.82,16.59
Snowden,Snowden,elite,6,4,1,Low,Virgin,2,106,2,,,0,48.69,0.91,16.55
Snowden,Snowden,elite,6,4,1,Low,Hancock,1,165,2,,,0,60.92,2.31,21.62
Snowden,Snowden,elite,6,4,1,Low,Sterile,4,183,3,,,0,45.32,0.57,17.09
Snowden,Snowden,elite,6,4,1,High,Sterile,2,1,1,,10.66,10.66,10.66,3.74,5.59
Snowden,Snowden,elite,6,4,1,High,Virgin,3,387,5,,,0,0,9.52,0
