Variety,variety2,Clade,agerank,agerank2,agerank3,Nutrient,soil,rep,sample_ID,sunlight,Notes:,tuber,tuber2,tuber3,root,dry_tuber
EBS 1797,EBS 1797,and,2,2,3,Low,Hancock,1,53,1,Flowering,12.3,12.3,12.3,1.4,4.012086396
EBS 1797,EBS 1797,and,2,2,3,High,Virgin,1,189,3,,17.48,17.48,17.48,13.95,5.701729285
EBS 1797,EBS 1797,and,2,2,3,High,Sterile,1,193,3,,1.21,1.21,1.21,9.14,0.394684922
EBS 1797,EBS 1797,and,2,2,3,Low,Sterile,4,227,3,Flowering,38.33,38.33,38.33,9.75,12.50270501
EBS 1797,EBS 1797,and,2,2,3,High,Hancock,3,274,4,,18.3,18.3,18.3,10.1,5.969201712
EBS 1797,EBS 1797,and,2,2,3,Low,Virgin,2,290,4,,39.45,39.45,39.45,3.3,12.8680332
EBS 1797,EBS 1797,and,2,2,3,High,Virgin,4,306,4,,1.77,1.77,1.77,18.85,0.577349018
EBS 1797,EBS 1797,and,2,2,3,High,Virgin,3,269,4,,123.55,123.55,123.55,19.14,25.45
EBS 1797,EBS 1797,and,2,2,3,High,Hancock,4,335,4,,46.52,46.52,46.52,6.69,12.23
EBS 1797,EBS 1797,and,2,2,3,Low,Virgin,4,285,4,,32.9,32.9,32.9,2.77,8.93
EBS 1797,EBS 1797,and,2,2,3,Low,Hancock,4,391,5,,35.87,35.87,35.87,2.72,11.17
EBS 1797,EBS 1797,and,2,2,3,Low,Sterile,3,304,4,,36.78,36.78,36.78,18.26,11.88
EBS 1797,EBS 1797,and,2,2,3,Low,Hancock,3,206,3,,42.81,42.81,42.81,3.95,14.34
EBS 1797,EBS 1797,and,2,2,3,Low,Hancock,2,361,5,,31.78,31.78,31.78,2.35,10.72
EBS 1797,EBS 1797,and,2,2,3,Low,Virgin,1,218,3,,25.91,25.91,25.91,4.1,9.88
EBS 1797,EBS 1797,and,2,2,3,High,Hancock,2,232,3,,40.21,40.21,40.21,23.52,15.91
EBS 1797,EBS 1797,and,2,2,3,Low,Sterile,2,337,5,,38.3,38.3,38.3,2.89,16.77
EBS 1797,EBS 1797,and,2,2,3,High,Hancock,1,43,1,,,0,0,10.33,0
EBS 1797,EBS 1797,and,2,2,3,High,Virgin,2,92,1,,,0,0,10.39,0
EBS 1797,EBS 1797,and,2,2,3,High,Sterile,4,117,2,,,0,0,8.06,0
Huagalina,Huagalina,and,2,2,3,Low,Hancock,1,65,1,,35.4,35.4,35.4,4.78,10.24574069
Huagalina,Huagalina,and,2,2,3,Low,Hancock,2,109,2,,41.43,41.43,41.43,5.73,11.99098974
Huagalina,Huagalina,and,2,2,3,Low,Virgin,1,156,2,,17.11,17.11,17.11,9.56,4.952107999
Huagalina,Huagalina,and,2,2,3,Low,Virgin,3,166,2,,38.39,38.39,38.39,10.27,11.11112952
Huagalina,Huagalina,and,2,2,3,Low,Hancock,4,257,3,,44.87,44.87,44.87,17.79,12.98662104
Huagalina,Huagalina,and,2,2,3,High,Virgin,4,268,4,,4.12,4.12,4.12,18.33,1.192442137
Huagalina,Huagalina,and,2,2,3,Low,Sterile,4,338,5,,31.48,31.48,31.48,8.26,9.111184092
Huagalina,Huagalina,and,2,2,3,Low,Sterile,1,397,5,,57.67,57.67,57.67,6.57,14
Huagalina,Huagalina,and,2,2,3,High,Virgin,3,398,5,,36.63,36.63,36.63,5.87,8.97
Huagalina,Huagalina,and,2,2,3,High,Sterile,3,396,5,,16.84,16.84,16.84,9.25,6.41
Huagalina,Huagalina,and,2,2,3,Low,Virgin,4,135,2,,0.93,0.93,0.93,11.09,0.269167764
Huagalina,Huagalina,and,2,2,3,High,Virgin,1,19,1,,,0,0,13.11,0
Huagalina,Huagalina,and,2,2,3,Low,Virgin,2,77,1,,,0,0,6.5,0
Huagalina,Huagalina,and,2,2,3,High,Virgin,2,134,2,,,0,0,9.37,0
Huagalina,Huagalina,and,2,2,3,Low,Sterile,2,174,3,,,0,0,12.68,0
Huagalina,Huagalina,and,2,2,3,High,Sterile,1,181,3,,,0,0,17.68,0
Huagalina,Huagalina,and,2,2,3,High,Hancock,1,222,3,,,0,0,12.82,0
Huagalina,Huagalina,and,2,2,3,High,Hancock,2,273,4,,,0,0,15.53,0
Huagalina,Huagalina,and,2,2,3,High,Hancock,4,307,4,,,0,0,60.26,0
Huagalina,Huagalina,and,2,2,3,High,Sterile,4,355,5,,,0,0,9.76,0
WAC 5,WAC 5,and,2,2,3,Low,Virgin,1,6,1,,10.71,10.71,10.71,1.27,4.297354376
WAC 5,WAC 5,and,2,2,3,Low,Hancock,4,50,1,,15.53,15.53,15.53,4.55,6.231364469
