Variety,variety2,Clade,agerank,agerank2,agerank3,Nutrient,soil,rep,sample_ID,sunlight,Notes:,tubermass ,shoot,root,root:shoot,root:shoot_2,total_biomass
HAO 58-15,HAO 58,bert,1,1,4,High,Hancock,3,375,5,,31.78,16.1,7.84,0.486956522,0.16374269,55.72
HHA 6451-15,HHA 6451,bert,1,1,4,High,Hancock,3,376,5,,0,40.87,22.62,0.553462197,0.553462197,63.49
HAO 76-2,HAO 76,bert,1,1,4,Low,Sterile,2,383,5,,86.89,7.53,5,0.664010624,0.052954882,99.42
HAO 76-9,HAO 76,bert,1,1,4,Low,Hancock,1,385,5,,69.6,6.14,3.41,0.555374593,0.045022445,79.15
HAO 58-24,HAO 58,bert,1,1,4,High,Virgin,4,388,5,,0,22.74,19.43,0.854441513,0.854441513,42.17
HAO 58-8,HAO 58,bert,1,1,4,High,Sterile,4,392,5,,0,27.5,24.96,0.907636364,0.907636364,52.46
HAO 76-6,HAO 76,bert,1,1,4,High,Sterile,2,408,5,,105.27,24.88,6.7,0.269292605,0.051479063,136.85
Wac 735,Wac 735,and,2,2,3,Low,Virgin,1,3,1,,2.71,4.95,0.48,0.096969697,0.062663185,8.14
WAC 5,WAC 5,and,2,2,3,Low,Virgin,1,6,1,,10.71,2.1,1.27,0.604761905,0.099141296,14.08
Wac 735,Wac 735,and,2,2,3,High,Virgin,3,7,1,,10,34.96,7.02,0.200800915,0.15613879,51.98
WAC 663,WAC 663,and,2,2,3,Low,Sterile,1,9,1,,8.83,3.4,0.62,0.182352941,0.050695012,12.85
WAC 663,WAC 663,and,2,2,3,High,Virgin,4,13,1,,0,25.12,6.37,0.253582803,0.253582803,31.49
Huagalina,Huagalina,and,2,2,3,High,Virgin,1,19,1,,0,34.17,13.11,0.383669886,0.383669886,47.28
Wac 735,Wac 735,and,2,2,3,Low,Hancock,4,25,1,,6.61,7.83,2.88,0.367816092,0.199445983,17.32
EBS 1797,EBS 1797,and,2,2,3,High,Hancock,1,43,1,,0,34.69,10.33,0.29778034,0.29778034,45.02
EBS 1797,EBS 1797,and,2,2,3,Low,Sterile,1,44,1,,11.66,6.71,6.56,0.977645306,0.357103974,24.93
Wac 735,Wac 735,and,2,2,3,Low,Sterile,3,48,1,,25.43,4.64,5.68,1.224137931,0.188892584,35.75
EBS 1797,EBS 1797,and,2,2,3,Low,Virgin,3,49,1,,11.63,8.16,3.03,0.371323529,0.15310763,22.82
WAC 5,WAC 5,and,2,2,3,Low,Hancock,4,50,1,,15.53,5.91,4.55,0.769881557,0.212220149,25.99
EBS 1797,EBS 1797,and,2,2,3,Low,Hancock,1,53,1,Flowering,12.3,3.81,1.4,0.367454068,0.086902545,17.51
Wac 735,Wac 735,and,2,2,3,High,Sterile,1,62,1,,0,37.39,13.95,0.37309441,0.37309441,51.34
WAC 5,WAC 5,and,2,2,3,High,Virgin,3,64,1,,0,38.97,9.4,0.241211188,0.241211188,48.37
Huagalina,Huagalina,and,2,2,3,Low,Hancock,1,65,1,,35.4,5.25,4.78,0.91047619,0.117589176,45.43
Wac 735,Wac 735,and,2,2,3,Low,Virgin,3,67,1,,11,3.75,1.7,0.453333333,0.115254237,16.45
WAC 663,WAC 663,and,2,2,3,Low,Sterile,2,70,1,Yellow,15.07,3.46,1.12,0.323699422,0.060442526,19.65
Huagalina,Huagalina,and,2,2,3,Low,Virgin,2,77,1,,0,3.44,6.5,1.889534884,1.889534884,9.94
WAC 5,WAC 5,and,2,2,3,High,Virgin,1,78,1,,0,23.58,8.61,0.365139949,0.365139949,32.19
WAC 663,WAC 663,and,2,2,3,High,Sterile,4,83,1,,0,26.91,9.4,0.349312523,0.349312523,36.31
WAC 5,WAC 5,and,2,2,3,Low,Hancock,3,89,1,,8.62,9.06,8.61,0.950331126,0.48699095,26.29
EBS 1797,EBS 1797,and,2,2,3,High,Virgin,2,92,1,,0,34.82,10.39,0.298391729,0.298391729,45.21
WAC 663,WAC 663,and,2,2,3,High,Virgin,1,93,1,,0,34.23,5.22,0.152497809,0.152497809,39.45
Wac 735,Wac 735,and,2,2,3,Low,Sterile,4,98,2,,18.45,2.87,4.46,1.554006969,0.209193246,25.78
