,code,timepoint,sample_ID,Variety,Nutrient,Soil_type,Species,Replicate,Stem_width,Shoot_length,Initial_shoot_Length,initial_Nodes,Tubermass,Tubermass2,Tuber_abs,Biomass_shoots,Biomass_Roots,Relsht_avg,Rel_tuber,Rel_root,RST_ratio,barcode_ID
172,Cor C.95_16S2_160,16S2,160,Cor_C_95,High,Virgin,C,2,4.43,55,8,6,0,0,0,44.49,26.14,8.438122333,0,6.865397242,1.701989288,Gh_expt2017_A199
183,Cor C.95_16S2_175,16S2,175,Cor_C_95,Low,Hancock,C,2,6.23,45,12,6,96.12,96.12,1,6.79,2.11,1.28781413,1.681669072,0.554169402,48.77251185,Gh_expt2017_A222
185,Cor C.95_16S2_177,16S2,177,Cor_C_95,High,Virgin,C,1,8.92,51,10,6,0,0,0,47.66,22.78,9.039355145,0,5.982928431,2.092186128,Gh_expt2017_A224
190,Cor C.95_16S2_188,16S2,188,Cor_C_95,Low,Virgin,C,4,7.12,38,11,5,116.25,116.25,1,5.98,6.63,1.134186818,2.033853825,1.741300066,18.43589744,Gh_expt2017_A243
226,Cor C.95_16S2_244,16S2,244,Cor_C_95,High,Hancock,C,1,10.82,63,11.5,7,0,0,0,46.57,16.63,8.832622096,0,4.367695338,2.800360794,Gh_expt2017_A316
235,Cor C.95_16S2_264,16S2,264,Cor_C_95,Low,Virgin,C,1,5.32,37,8.5,6,59.35,59.35,1,3.53,1.89,0.669511617,1.038358921,0.496388707,33.26984127,Gh_expt2017_A337
236,Cor C.95_16S2_266,16S2,266,Cor_C_95,High,Hancock,C,2,9.82,49,12,5,0,0,0,55.85,44.26,10.59269796,0,11.62442548,1.261861726,Gh_expt2017_A338
21,EBS 1797_16S_92,16S,92,EBS_1797,High,Virgin,A,2,6.75,41,9,8,0,0,0,34.82,10.39,6.692936088,0,1.10945008,3.351299326,Gh_expt2017_A118
92,EBS 1797_16S_361,16S,361,EBS_1797,Low,Hancock,A,2,6.91,38,12.5,7,31.78,31.78,1,5.17,2.35,0.993753003,1.016390821,0.25093433,15.72340426,Gh_expt2017_A129
112,EBS 1797_16S_391,16S,391,EBS_1797,Low,Hancock,A,4,5.23,64,11,9,35.87,35.87,1,7.87,2.72,1.512734262,1.147197569,0.290443139,16.08088235,Gh_expt2017_A173
205,EBS 1797_16S2_206,16S2,206,EBS_1797,Low,Hancock,A,3,8.54,50,15,9,42.81,42.81,1,3.88,3.95,0.745795291,1.369153274,0.421783235,11.82025316,Gh_expt2017_A270
219,EBS 1797_16S2_232,16S2,232,EBS_1797,High,Hancock,A,2,7.01,45,13,9,40.21,40.21,1,30.05,23.52,5.776069198,1.28599984,2.511478911,2.987244898,Gh_expt2017_A297
239,EBS 1797_16S2_269,16S2,269,EBS_1797,High,Virgin,A,3,7,38,6,3,123.55,123.55,1,24.45,19.14,4.699663623,3.951387223,2.043780032,7.732497388,Gh_expt2017_A341
242,EBS 1797_16S2_274,16S2,274,EBS_1797,High,Hancock,A,3,7.02,48,15,9,18.3,18.3,1,24.41,10.1,4.691975012,0.585272248,1.078483716,4.228712871,Gh_expt2017_A344
249,EBS 1797_16S2_285,16S2,285,EBS_1797,Low,Virgin,A,4,3.09,35,15,10,32.9,32.9,1,2.4,2.77,0.461316675,1.052210762,0.295782168,12.74368231,Gh_expt2017_A364
30,Garnet-18_16S_105,16S,105,Garnet,Low,Virgin,E,2,3.26,22,7,9,73.13,73.13,1,2.15,1.3,0.663580247,0.873350451,0.401234568,57.90769231,Gh_expt2017_A139
38,Garnet-19_16S_115,16S,115,Garnet,Low,Virgin,E,3,7.65,46,5,8,70.45,70.45,1,2.76,1.16,0.851851852,0.841344718,0.358024691,63.11206897,Gh_expt2017_A159
116,Garnet-15_16S_399,16S,399,Garnet,High,Hancock,E,3,11.45,42,7,6,0,136.16,0,26.76,5.06,8.259259259,0,1.561728395,5.288537549,Gh_expt2017_A177
171,Garnet_16S2_157,16S2,157,Garnet,High,Hancock,E,1,12.55,38,8.5,8,118.89,118.89,1,29.1,4.34,8.981481481,1.419836389,1.339506173,34.09907834,Gh_expt2017_A198
173,Garnet_16S2_163,16S2,163,Garnet,High,Virgin,E,4,11.44,44,6.5,9,80.57,80.57,1,42.35,4.34,13.07098765,0.962202185,1.339506173,28.32258065,Gh_expt2017_A200
200,Garnet_16S2_201,16S2,201,Garnet,Low,Hancock,E,4,6.41,34,5,8,81.04,81.04,1,3,0.75,0.925925926,0.967815131,0.231481481,112.0533333,Gh_expt2017_A265
214,Garnet_16S2_221,16S2,221,Garnet,High,Virgin,E,1,6.71,36,6.5,8,148.48,148.48,1,28.45,4.08,8.780864198,1.773213113,1.259259259,43.36519608,Gh_expt2017_A291
9,HAO 58-9_16S_18,16S,18,HAO_58,Low,Hancock,SB,1,5.68,39,8,6,0,0,0,10.37,9.95,1.603401624,0,0.611461054,1.042211055,Gh_expt2017_A21
17,HAO 58-23_16S_85,16S,85,HAO_58,High,Virgin,SB,3,7.3,28,11,9,0,0,0,30.5,24.07,4.715887128,0,1.47918267,1.267137516,Gh_expt2017_A114
26,HAO 58-19_16S_97,16S,97,HAO_58,Low,Virgin,SB,3,4.41,25,7,7,0,0,0,4.86,11.65,0.751449555,0,0.715931787,0.417167382,Gh_expt2017_A135
40,HAO 58-22_16S_119,16S,119,HAO_58,High,Virgin,SB,2,8.17,28,9.5,7,0,0,0,18.41,8.6,2.846540394,0,0.528499001,2.140697674,Gh_expt2017_A161
45,HAO 58-18_16S_126,16S,126,HAO_58,Low,Virgin,SB,2,4.12,23,6.5,0,1.82,1.82,1,5.71,15.66,0.882875918,0.420566147,0.962359809,0.480842912,Gh_expt2017_A166
111,HAO 58-24_16S_388,16S,388,HAO_58,High,Virgin,SB,4,7.5,32,6.5,7,0,0,0,22.74,19.43,3.516041747,0,1.194039023,1.170355121,Gh_expt2017_A172
167,HAO 58_16S2_149,16S2,149,HAO_58,Low,Virgin,SB,1,4.86,27,7,6,2.48,2.48,1,6.75,19.09,1.043679938,0.573079145,1.173144876,0.483499214,Gh_expt2017_A194
231,HAO 58_16S2_256,16S2,256,HAO_58,High,Virgin,SB,1,8.5,24,6.5,6,0,0,0,31.15,32.48,4.816389641,0,1.996005531,0.959051724,Gh_expt2017_A321
248,HAO 58_16S2_284,16S2,284,HAO_58,Low,Hancock,SB,2,5.6,21,7,8,0,0,0,6.78,25.48,1.048318516,0,1.565831925,0.266091052,Gh_expt2017_A363
28,HAO 76-16_16S_103,16S,103,HAO_76,High,Hancock,SB,1,6.32,31,NA,NA,NA,45.34,NA,NA,NA,NA,NA,NA,,Gh_expt2017_A137
94,HAO 76-12_16S_363,16S,363,HAO_76,Low,Hancock,SB,4,7.82,60,11,7,89.5,89.5,1,7.41,2.17,1.477567298,1.808994442,0.504357931,44.65898618,Gh_expt2017_A131
99,HAO 76-17_16S_372,16S,372,HAO_76,Low,Virgin,SB,1,6.75,32,15,8,95.35,95.35,1,7.41,4.53,1.477567298,1.927235978,1.052876235,22.68432671,Gh_expt2017_A148
204,HAO 76_16S2_205,16S2,205,HAO_76,High,Virgin,SB,2,8.16,39,7.5,9,58.77,58.77,1,30.81,13.04,6.143569292,1.187872663,3.030796049,6.869631902,Gh_expt2017_A269
97,HHA 6451-24_16S_368,16S,368,HHA_6451,High,Virgin,SB,4,8.04,55,4.5,5,2.01,2.01,1,43.32,18.66,5.336618417,0.198322644,2.149769585,2.42926045,Gh_expt2017_A146
102,HHA 6451-15_16S_376,16S,376,HHA_6451,High,Hancock,SB,3,8.08,50,5.5,5,0,0,0,40.87,22.62,5.034801355,0,2.605990783,1.806808134,Gh_expt2017_A151
201,HHA 6451_16S2_202,16S2,202,HHA_6451,Low,Virgin,SB,2,5.81,54,6,6,6.75,6.75,1,10.36,17.11,1.276255005,0.66600888,1.971198157,1,Gh_expt2017_A266
203,HHA 6451_16S2_204,16S2,204,HHA_6451,High,Virgin,SB,3,7.96,44,6.5,5,0,0,0,49.37,26.15,6.081921774,0,3.012672811,1.887954111,Gh_expt2017_A268
220,HHA 6451_16S2_233,16S2,233,HHA_6451,Low,Virgin,SB,4,6.56,48,7,5,16.62,16.62,1,8.97,15.46,1.105020018,1.639861865,1.781105991,1.655239327,Gh_expt2017_A298
225,HHA 6451_16S2_242,16S2,242,HHA_6451,Low,Virgin,SB,1,6.01,60,5.5,3,0,0,0,5.04,9.04,0.620880813,0,1.041474654,0.557522124,Gh_expt2017_A315
12,Huagalina_16S_77,16S,77,Huagalina,Low,Virgin,A,2,5.11,30,7,6,0,0,0,3.44,6.5,0.522796353,0,0.708833152,0.529230769,Gh_expt2017_A109
34,Huagalina_16S_109,16S,109,Huagalina,Low,Hancock,A,2,6.91,44,8.5,7,41.43,41.43,1,6.99,5.73,1.06231003,1.394166978,0.624863686,8.45026178,Gh_expt2017_A143
51,Huagalina_16S_134,16S,134,Huagalina,High,Virgin,A,2,7.35,60,6.5,7,0,0,0,42.1,9.37,6.398176292,0,1.021810251,4.493062967,Gh_expt2017_A184
52,Huagalina_16S_135,16S,135,Huagalina,Low,Virgin,A,4,7.64,43,6.5,7,0.93,0.93,1,7.65,11.09,1.162613982,0.031295566,1.209378408,0.773669973,Gh_expt2017_A185
64,Huagalina_16S_166,16S,166,Huagalina,Low,Virgin,A,3,4.53,35,7.5,6,38.39,38.39,1,8,10.27,1.215805471,1.291867494,1.119956379,4.517039922,Gh_expt2017_A25
115,Huagalina_16S_398,16S,398,Huagalina,High,Virgin,A,3,5.44,52,7.5,10,36.63,36.63,1,35.14,5.87,5.340425532,1.232641477,0.640130862,12.22657581,Gh_expt2017_A176
170,Huagalina_16S2_156,16S2,156,Huagalina,Low,Virgin,A,1,5.47,54,5.5,5,17.11,17.11,1,5.33,9.56,0.810030395,0.575771108,1.042529989,2.347280335,Gh_expt2017_A197
215,Huagalina_16S2_222,16S2,222,Huagalina,High,Hancock,A,1,6.15,45,6.5,4,0,0,0,37.84,12.82,5.750759878,0,1.398037077,2.951638066,Gh_expt2017_A292
238,Huagalina_16S2_268,16S2,268,Huagalina,High,Virgin,A,4,7.18,54,8,6,4.12,4.12,1,50.65,18.33,7.697568389,0.138642721,1.998909487,2.987997818,Gh_expt2017_A340
241,Huagalina_16S2_273,16S2,273,Huagalina,High,Hancock,A,2,5.37,52,10.5,6,0,0,0,36.07,15.53,5.481762918,0,1.693565976,2.322601417,Gh_expt2017_A343
67,Norkodah_16S_170,16S,170,Norkodah,Low,Virgin,E,4,6.07,19,11.5,8,81.82,81.82,1,2.13,0.29,2.597560976,1.493428967,0.69047619,289.4827586,Gh_expt2017_A28
70,Norkodah_16S_173,16S,173,Norkodah,Low,Virgin,E,2,5.38,25,13,9,82.55,82.55,1,1.7,0.5,2.073170732,1.506753376,1.19047619,168.5,Gh_expt2017_A31
88,Norkodah_16S_354,16S,354,Norkodah,Low,Virgin,E,3,6.67,25,14.5,7,81.36,81.36,1,1.92,0.31,2.341463415,1.485032764,0.738095238,268.6451613,Gh_expt2017_A125
179,Norkodah_16S2_170,16S2,170,Norkodah,Low,Virgin,E,4,6.07,19,11.5,8,81.82,81.82,1,2.13,0.29,2.597560976,1.493428967,0.69047619,289.4827586,Gh_expt2017_A218
182,Norkodah_16S2_173,16S2,173,Norkodah,Low,Virgin,E,2,5.38,25,13,9,82.55,82.55,1,1.7,0.5,2.073170732,1.506753376,1.19047619,168.5,Gh_expt2017_A221
196,Norkodah_16S2_197,16S2,197,Norkodah,High,Virgin,E,4,8.88,30,15,9,167,167,1,12.56,0.72,15.31707317,3.048186721,1.714285714,249.3888889,Gh_expt2017_A249
207,Norkodah_16S2_209,16S2,209,Norkodah,High,Virgin,E,3,6.67,22,14,8,0,0,0,34.76,3.16,42.3902439,0,7.523809524,11,Gh_expt2017_A272
210,Norkodah_16S2_213,16S2,213,Norkodah,Low,Hancock,E,3,6.44,13,12,7,94.5,94.5,1,2.1,1.23,2.56097561,1.724872127,2.928571429,78.53658537,Gh_expt2017_A275
229,Norkodah_16S2_254,16S2,254,Norkodah,Low,Virgin,E,1,4.72,18,15.5,9,62.93,62.93,1,1.63,0,1.987804878,1.148637068,0,#DIV/0!,Gh_expt2017_A319
16,P. Cacho-9_16S_82,16S,82,P_Cacho,Low,Hancock,C,1,5.32,50,9,6,66.62,66.62,1,5.18,1.25,1.033416459,0.947114018,0.761035008,57.44,Gh_expt2017_A113
24,P. Cacho-20_16S_95,16S,95,P_Cacho,Low,Virgin,C,4,5,45,7.5,9,86.24,86.24,1,5.68,2.06,1.133167082,1.226044925,1.254185693,44.62135922,Gh_expt2017_A133
43,P. Cacho-24_16S_123,16S,123,P_Cacho,High,Virgin,C,4,6.99,42,9.5,10,49.96,49.96,1,28.28,12.97,5.641895262,0.71026443,7.896499239,6.032382421,Gh_expt2017_A164
56,P. Cacho-10_16S_141,16S,141,P_Cacho,Low,Hancock,C,2,6.37,52,10,8,100.78,100.78,1,7.41,0.95,1.478304239,1.432755189,0.578386606,113.8842105,Gh_expt2017_A189
91,P. Cacho-11_16S_359,16S,359,P_Cacho,Low,Hancock,C,3,6.51,50,9,7,100.8,100.8,1,7.44,1.16,1.484289277,1.433039522,0.706240487,93.31034483,Gh_expt2017_A128
25,Ranger_16S_96,16S,96,Ranger,Low,Hancock,E,4,7.78,20,8.5,6,62.21,62.21,1,1.51,0.55,0.75879397,1.309753145,0.533980583,115.8545455,Gh_expt2017_A134
41,Ranger_16S_120,16S,120,Ranger,High,Virgin,E,4,10.71,42,7.5,8,193.56,193.56,1,15.96,2.12,8.020100503,4.075161851,2.058252427,98.83018868,Gh_expt2017_A162
53,Ranger_16S_136,16S,136,Ranger,High,Virgin,E,2,7.73,25,8,7,228.93,228.93,1,20.69,2.17,10.39698492,4.819832623,2.106796117,115.0322581,Gh_expt2017_A186
195,Ranger_16S2_195,16S2,195,Ranger,Low,Virgin,E,4,4.26,18,8,7,68.95,68.95,1,1.56,0.66,0.783919598,1.45165535,0.640776699,106.8333333,Gh_expt2017_A248
221,Ranger_16S2_235,16S2,235,Ranger,Low,Virgin,E,2,6.25,12,7.5,4,40.89,40.89,1,1.25,0.4,0.628140704,0.860887415,0.388349515,105.35,Gh_expt2017_A299
228,Ranger_16S2_247,16S2,247,Ranger,High,Virgin,E,3,9.83,15,6.5,6,180.09,180.09,1,6.86,1.09,3.447236181,3.791567977,1.058252427,171.5137615,Gh_expt2017_A318
247,Ranger_16S2_282,16S2,282,Ranger,Low,Hancock,E,2,7.3,15,6.5,9,52.94,52.94,1,1.75,52.01,0.879396985,1.114584978,50.49514563,1.051528552,Gh_expt2017_A362
23,Snowden_16S_94,16S,94,Snowden,Low,Virgin,E,4,4.35,24,10,8,0,83.82,0,2.47,1.86,1.551020408,0,1.706422018,1.327956989,Gh_expt2017_A120
31,Snowden_16S_106,16S,106,Snowden,Low,Virgin,E,2,4.42,24,9,15,0,48.69,0,1.8,0.91,1.130298273,0,0.834862385,1.978021978,Gh_expt2017_A140
32,Snowden_16S_107,16S,107,Snowden,Low,Virgin,E,1,4.26,21,9.5,13,0,50.61,0,1.58,1.53,0.992150706,0,1.403669725,1.032679739,Gh_expt2017_A141
65,Snowden_16S_168,16S,168,Snowden,High,Hancock,E,1,7.48,20,10,7,123.83,123.83,1,20.12,8.84,12.63422292,6.503676471,8.110091743,16.28393665,Gh_expt2017_A26
96,Snowden_16S_366,16S,366,Snowden,High,Virgin,E,2,7.8,29,11.5,8,100.3,100.3,1,29.98,9.91,18.82574568,5.267857143,9.091743119,13.14631685,Gh_expt2017_A145
107,Snowden_16S_384,16S,384,Snowden,High,Hancock,E,2,9.97,28,11,10,55.14,55.14,1,21.88,6.82,13.73940345,2.896008403,6.256880734,11.29325513,Gh_expt2017_A156
110,Snowden_16S_387,16S,387,Snowden,High,Virgin,E,3,8.82,25,6.5,12,0,0,0,24.45,9.52,15.35321821,0,8.733944954,2.568277311,Gh_expt2017_A171
188,Snowden_16S2_186,16S2,186,Snowden,High,Virgin,E,4,7.95,30,9.5,12,149.13,149.13,1,21.17,6.24,13.29356358,7.832457983,5.724770642,27.29166667,Gh_expt2017_A241
198,Snowden_16S2_199,16S2,199,Snowden,Low,Hancock,E,3,5.69,17,11,9,86.77,86.77,1,2.16,1.01,1.356357928,4.557247899,0.926605505,88.04950495,Gh_expt2017_A251
206,Snowden_16S2_208,16S2,208,Snowden,Low,Virgin,E,3,6.7,33,8.5,10,0,56.67,0,1.58,0.35,0.992150706,0,0.321100917,4.514285714,Gh_expt2017_A271
222,Snowden_16S2_236,16S2,236,Snowden,Low,Hancock,E,2,5.58,12,9.5,9,67.47,67.47,1,1.21,0.66,0.759811617,3.543592437,0.605504587,104.0606061,Gh_expt2017_A300
233,Snowden_16S2_258,16S2,258,Snowden,High,Hancock,E,3,8.11,22,10.5,11,177,177,1,20.9,5.31,13.12401884,9.296218487,4.871559633,37.2693032,Gh_expt2017_A323
237,Snowden_16S2_267,16S2,267,Snowden,Low,Hancock,E,3,6.67,21,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,Gh_expt2017_A339
2,WAC 5_16S_6,16S,6,WAC_5,Low,Virgin,A,1,3.69,34,9,9,10.71,10.71,1,2.1,1.27,0.703517588,0.469736842,0.245173745,10.08661417,Gh_expt2017_A14
13,WAC 5_16S_78,16S,78,WAC_5,High,Virgin,A,1,5.99,38,10,10,0,0,0,23.58,8.61,7.899497487,0,1.662162162,2.738675958,Gh_expt2017_A110
18,WAC 5_16S_89,16S,89,WAC_5,Low,Hancock,A,3,5.38,39,11,12,8.62,8.62,1,9.06,8.61,3.035175879,0.378070175,1.662162162,2.053426249,Gh_expt2017_A115
105,WAC 5_16S_382,16S,382,WAC_5,Low,Hancock,A,2,6.61,55,9,9,30.44,30.44,1,8.99,4.97,3.011725293,1.335087719,0.959459459,7.93360161,Gh_expt2017_A154
246,WAC 5_16S2_281,16S2,281,WAC_5,Low,Virgin,A,3,6.21,38,9.5,11,63.57,63.57,1,4.43,4.91,1.484087102,2.788157895,0.947876448,13.84928717,Gh_expt2017_A361
22,WAC 663_16S_93,16S,93,WAC_663,High,Virgin,A,1,5.86,44,13,11,0,0,0,34.23,5.22,8.543260521,0,9.607362022,6.557471264,Gh_expt2017_A119
35,WAC 663_16S_112,16S,112,WAC_663,High,Hancock,A,2,5.35,24,NA,NA,NA,41.43,NA,NA,NA,NA,NA,NA,,Gh_expt2017_A144
66,WAC 663_16S_169,16S,169,WAC_663,High,Hancock,A,1,4.59,31,11,13,0,0,0,42.8,10.97,10.68219545,0,20.19018417,3.901549681,Gh_expt2017_A27
72,WAC 663_16S_176,16S,176,WAC_663,Low,Virgin,A,3,3.15,36,14,8,21.52,21.52,1,3.32,1.5,0.828618899,1.316745119,2.760736213,16.56,Gh_expt2017_A33
74,WAC 663_16S_178,16S,178,WAC_663,Low,Virgin,A,4,2.52,31,12,8,10.44,10.44,1,2.97,0.34,0.741264497,0.638792706,0.625766875,39.44117647,Gh_expt2017_A35
89,WAC 663_16S_357,16S,357,WAC_663,Low,Hancock,A,1,5.1,40,11,10,26.47,26.47,1,8.74,1.12,2.181364211,1.619620971,2.061349706,31.4375,Gh_expt2017_A126
100,WAC 663_16S_373,16S,373,WAC_663,Low,Hancock,A,2,5.45,33,NA,NA,NA,95.35,NA,NA,NA,NA,NA,NA,,Gh_expt2017_A149
117,WAC 663_16S_400,16S,400,WAC_663,High,Hancock,A,3,5.28,40,15,13,0,0,0,28.24,5.71,7.048252325,0,10.50920252,4.945709282,Gh_expt2017_A178
184,WAC 663_16S2_176,16S2,176,WAC_663,Low,Virgin,A,3,3.15,36,14,8,21.52,21.52,1,3.32,1.5,0.828618899,1.316745119,2.760736213,16.56,Gh_expt2017_A223
186,WAC 663_16S2_178,16S2,178,WAC_663,Low,Virgin,A,4,2.52,31,12,8,10.44,10.44,1,2.97,0.34,0.741264497,0.638792706,0.625766875,39.44117647,Gh_expt2017_A225
194,WAC 663_16S2_194,16S2,194,WAC_663,High,Hancock,A,4,5.09,30,14,8,7.26,7.26,1,30.66,11.8,7.65224562,0.444217916,21.71779154,3.213559322,Gh_expt2017_A247
218,WAC 663_16S2_231,16S2,231,WAC_663,Low,Hancock,A,3,4.55,12,13.5,16,36.15,36.15,1,5.41,1.8,1.350249472,2.211911526,3.312883456,23.08888889,Gh_expt2017_A296
