,code,timepoint,sample_ID,Variety,Nutrient,Soil_type,Species,Replicate,Stem_width,Shoot_length,Initial_shoot_Length,initial_Nodes,Tubermass,Tubermass2,Tuber_abs,Biomass_shoots,Biomass_Roots,Relsht_avg,Rel_tuber,Rel_root,RST_ratio,barcode_ID
234,WAC 663_16S2_260,16S2,260,WAC_663,Low,Virgin,A,2,5.81,40,12,9,48.04,48.04,1,2.62,1.96,0.653910095,2.939425441,3.607361985,25.84693878,Gh_expt2017_A324
29,Wac 735_16S_104,16S,104,Wac_735,High,Hancock,A,3,7.02,27,12.5,9,0,0,0,26.5,19.85,6.725888325,0,3.946322068,1.335012594,Gh_expt2017_A138
42,Wac 735_16S_121,16S,121,Wac_735,High,Hancock,A,1,6.19,42,7,11,0,0,0,34.44,25.52,8.741116751,0,5.073558648,1.349529781,Gh_expt2017_A163
68,Wac 735_16S_171,16S,171,Wac_735,High,Virgin,A,2,5.52,25,13,13,0,0,0,33.87,13.25,8.596446701,0,2.634194831,2.556226415,Gh_expt2017_A29
69,Wac 735_16S_172,16S,172,Wac_735,Low,Virgin,A,2,4.6,38,7,6,47.92,47.92,1,4.28,3.42,1.086294416,1.922953451,0.679920477,15.26315789,Gh_expt2017_A30
85,Wac 735_16S_349,16S,349,Wac_735,Low,Hancock,A,1,4.37,40,12,19,0,46.42,0,7.58,1.85,1.923857868,0,0.367793241,4.097297297,Gh_expt2017_A121
87,Wac 735_16S_352,16S,352,Wac_735,Low,Hancock,A,2,4.99,36,5.5,7,0,88.63,0,4.56,1.73,1.157360406,0,0.343936382,2.63583815,Gh_expt2017_A123
93,Wac 735_16S_362,16S,362,Wac_735,High,Hancock,A,2,6.7,38,12,17,46.15,46.15,1,18.23,1.77,4.626903553,1.851926164,0.351888668,36.37288136,Gh_expt2017_A130
104,Wac 735_16S_381,16S,381,Wac_735,High,Hancock,A,4,5.84,50,9.5,8,0,0,0,30.8,8.94,7.817258883,0,1.777335984,3.445190157,Gh_expt2017_A153
169,Wac 735_16S2_155,16S2,155,Wac_735,High,Virgin,A,1,5.36,42,9.5,8,0,0,0,31.69,15.56,8.043147208,0,3.093439364,2.036632391,Gh_expt2017_A196
180,Wac 735_16S2_171,16S2,171,Wac_735,High,Virgin,A,2,5.52,25,13,13,0,0,0,33.87,13.25,8.596446701,0,2.634194831,2.556226415,Gh_expt2017_A219
181,Wac 735_16S2_172,16S2,172,Wac_735,Low,Virgin,A,2,4.6,38,7,6,47.92,47.92,1,4.28,3.42,1.086294416,1.922953451,0.679920477,15.26315789,Gh_expt2017_A220
244,Wac 735_16S2_276,16S2,276,Wac_735,High,Virgin,A,4,6.25,35,11.5,8,0.22,0.22,1,24.52,6.46,6.223350254,0.00882825,1.284294235,3.829721362,Gh_expt2017_A346
