Variety,variety2,Clade,agerank,agerank2,agerank3,agerank4,Nutrient,soil,rep,sample_ID,sunlight,Notes:,tuber,tuber2,tuber3,root
Garnet-5,Garnet,chil,4,3,1,2,High,Sterile,1,348,5,,,0,0,6.27
Garnet-6,Garnet,chil,4,3,1,2,High,Sterile,2,360,5,,100.8,100.8,100.8,3.29
Garnet-4,Garnet,chil,4,3,1,2,Low,Sterile,4,394,5,,150.91,150.91,150.91,1.73
Garnet-15,Garnet,chil,4,3,1,2,High,Hancock,3,399,5,,,0,136.16,5.06
Burbank,Burbank,elite,5,4,1,2,High,Virgin,3,30,1,,45.98,45.98,45.98,9.67
Burbank,Burbank,elite,5,4,1,2,Low,Hancock,4,91,1,,84.11,84.11,84.11,0.86
Burbank,Burbank,elite,5,4,1,2,High,Hancock,4,113,2,,113.55,113.55,113.55,5.85
Burbank,Burbank,elite,5,4,1,2,High,Virgin,4,114,2,,161.11,161.11,161.11,4.78
Burbank,Burbank,elite,5,4,1,2,High,Hancock,1,131,2,,124.32,124.32,124.32,7.37
Burbank,Burbank,elite,5,4,1,2,High,Virgin,1,132,2,,142.23,142.23,142.23,11.09
Burbank,Burbank,elite,5,4,1,2,Low,Virgin,1,140,2,,60.94,60.94,60.94,1.6
Burbank,Burbank,elite,5,4,1,2,High,Sterile,3,142,2,,137.02,137.02,137.02,7.81
Burbank,Burbank,elite,5,4,1,2,Low,Sterile,1,198,3,,83.16,83.16,83.16,0.72
Burbank,Burbank,elite,5,4,1,2,Low,Hancock,1,219,3,,103.03,103.03,103.03,0.81
Burbank,Burbank,elite,5,4,1,2,High,Sterile,4,243,3,,191.05,191.05,191.05,7.32
Burbank,Burbank,elite,5,4,1,2,Low,Virgin,3,246,3,,94.82,94.82,94.82,1.44
Burbank,Burbank,elite,5,4,1,2,Low,Sterile,3,248,3,,97.09,97.09,97.09,1.31
Burbank,Burbank,elite,5,4,1,2,Low,Sterile,2,261,3,,66.5,66.5,66.5,0.49
Burbank,Burbank,elite,5,4,1,2,Low,Virgin,4,272,4,,80.51,80.51,80.51,0.76
Burbank,Burbank,elite,5,4,1,2,High,Hancock,2,309,4,,174.46,174.46,174.46,8.62
Burbank,Burbank,elite,5,4,1,2,High,Hancock,3,323,4,,102.34,102.34,102.34,4.47
Burbank,Burbank,elite,5,4,1,2,Low,Hancock,2,331,4,,84.91,84.91,84.91,0.71
Burbank,Burbank,elite,5,4,1,2,High,Virgin,2,343,5,,156.24,156.24,156.24,7.6
Burbank,Burbank,elite,5,4,1,2,High,Sterile,1,347,5,,,0,100.95,4.11
Burbank,Burbank,elite,5,4,1,2,Low,Virgin,2,380,5,,,0,0,1.27
Burbank,Burbank,elite,5,4,1,2,Low,Sterile,4,403,5,,,0,60.64,0.27
Burbank,Burbank,elite,5,4,1,2,High,Sterile,2,407,5,,162.18,162.18,162.18,5.72
Norkodah,Norkodah,elite,6,4,1,1,High,Hancock,2,39,1,,119,119,119,1.06
Norkodah,Norkodah,elite,6,4,1,1,High,Virgin,2,57,1,,128.8,128.8,128.8,0.89
Norkodah,Norkodah,elite,6,4,1,1,Low,Sterile,1,79,1,,51.87,51.87,51.87,0.56
Norkodah,Norkodah,elite,6,4,1,1,High,Sterile,3,86,1,,112.25,112.25,112.25,1.28
Norkodah,Norkodah,elite,6,4,1,1,Low,Sterile,2,108,2,,56.59,56.59,56.59,0.23
Norkodah,Norkodah,elite,6,4,1,1,Low,Virgin,4,170,3,,81.82,81.82,81.82,0.29
Norkodah,Norkodah,elite,6,4,1,1,Low,Virgin,2,173,3,Yellow,82.55,82.55,82.55,0.5
Norkodah,Norkodah,elite,6,4,1,1,High,Virgin,4,197,3,,167,167,167,0.72
Norkodah,Norkodah,elite,6,4,1,1,High,Sterile,2,200,3,,99.19,99.19,99.19,1.07
Norkodah,Norkodah,elite,6,4,1,1,High,Virgin,3,209,3,,,0,0,3.16
Norkodah,Norkodah,elite,6,4,1,1,Low,Hancock,3,213,3,,94.5,94.5,94.5,1.23
Norkodah,Norkodah,elite,6,4,1,1,Low,Sterile,3,228,3,,55.9,55.9,55.9,0.47
Norkodah,Norkodah,elite,6,4,1,1,Low,Virgin,1,254,3,,62.93,62.93,62.93,
Norkodah,Norkodah,elite,6,4,1,1,Low,Hancock,4,345,5,,63.84,63.84,63.84,0.35
Norkodah,Norkodah,elite,6,4,1,1,Low,Virgin,3,354,5,,81.36,81.36,81.36,0.31
Norkodah,Norkodah,elite,6,4,1,1,Low,Hancock,2,358,5,,70.77,70.77,70.77,0.24
Norkodah,Norkodah,elite,6,4,1,1,High,Virgin,1,364,5,,202.1,202.1,202.1,0.84
Norkodah,Norkodah,elite,6,4,1,1,High,Sterile,4,365,5,,115.09,115.09,115.09,0.62
Ranger,Ranger,elite,6,4,1,1,High,Virgin,1,12,1,,181.68,181.68,181.68,3.14
Ranger,Ranger,elite,6,4,1,1,High,Hancock,2,35,1,,143.21,143.21,143.21,1.89
Ranger,Ranger,elite,6,4,1,1,Low,Hancock,1,51,1,,44.27,44.27,44.27,0.37
Ranger,Ranger,elite,6,4,1,1,High,Sterile,1,63,1,,137.78,137.78,137.78,4.13
Ranger,Ranger,elite,6,4,1,1,Low,Hancock,3,90,1,,46.76,46.76,46.76,0.45
Ranger,Ranger,elite,6,4,1,1,Low,Hancock,4,96,1,,62.21,62.21,62.21,0.55
Ranger,Ranger,elite,6,4,1,1,High,Virgin,4,120,2,,193.56,193.56,193.56,2.12
Ranger,Ranger,elite,6,4,1,1,Low,Sterile,3,133,2,,70.37,70.37,70.37,2.11
Ranger,Ranger,elite,6,4,1,1,High,Virgin,2,136,2,,228.93,228.93,228.93,2.17
Ranger,Ranger,elite,6,4,1,1,Low,Virgin,3,144,2,,39.2,39.2,39.2,0.32
Ranger,Ranger,elite,6,4,1,1,Low,Sterile,1,152,2,,39.26,39.26,39.26,0.42
Ranger,Ranger,elite,6,4,1,1,High,Sterile,2,162,2,,198.56,198.56,198.56,3.45
Ranger,Ranger,elite,6,4,1,1,Low,Virgin,4,195,3,,68.95,68.95,68.95,0.66
Ranger,Ranger,elite,6,4,1,1,Low,Virgin,2,235,3,,40.89,40.89,40.89,0.4
Ranger,Ranger,elite,6,4,1,1,High,Virgin,3,247,3,,180.09,180.09,180.09,1.09
Ranger,Ranger,elite,6,4,1,1,Low,Hancock,2,282,4,,52.94,52.94,52.94,52.01
Ranger,Ranger,elite,6,4,1,1,Low,Sterile,4,291,4,,80.36,80.36,80.36,0.83
Ranger,Ranger,elite,6,4,1,1,High,Hancock,4,298,4,,83.2,83.2,83.2,0.43
Ranger,Ranger,elite,6,4,1,1,High,Sterile,3,299,4,,118.12,118.12,118.12,1.55
Ranger,Ranger,elite,6,4,1,1,Low,Sterile,2,302,4,,,0,60.85,0.76
Snowden,Snowden,elite,6,4,1,1,High,Sterile,2,1,1,,10.66,10.66,10.66,3.74
Snowden,Snowden,elite,6,4,1,1,High,Virgin,1,73,1,,67.48,67.48,67.48,8.08
Snowden,Snowden,elite,6,4,1,1,Low,Virgin,4,94,1,,,0,83.82,1.86
Snowden,Snowden,elite,6,4,1,1,Low,Virgin,2,106,2,,,0,48.69,0.91
Snowden,Snowden,elite,6,4,1,1,Low,Virgin,1,107,2,,,0,50.61,1.53
Snowden,Snowden,elite,6,4,1,1,Low,Sterile,3,137,2,,,0,64.75,1.91
Snowden,Snowden,elite,6,4,1,1,Low,Hancock,1,165,2,,,0,60.92,2.31
Snowden,Snowden,elite,6,4,1,1,High,Hancock,1,168,2,,123.83,123.83,123.83,8.84
Snowden,Snowden,elite,6,4,1,1,Low,Sterile,4,183,3,,,0,45.32,0.57
Snowden,Snowden,elite,6,4,1,1,High,Virgin,4,186,3,,149.13,149.13,149.13,6.24
Snowden,Snowden,elite,6,4,1,1,Low,Hancock,3,199,3,,86.77,86.77,86.77,1.01
Snowden,Snowden,elite,6,4,1,1,Low,Virgin,3,208,3,,,0,56.67,0.35
Snowden,Snowden,elite,6,4,1,1,Low,Sterile,1,226,3,,,0,60.15,0.51
Snowden,Snowden,elite,6,4,1,1,Low,Hancock,2,236,3,,67.47,67.47,67.47,0.66
Snowden,Snowden,elite,6,4,1,1,Low,Sterile,2,237,3,,76.16,76.16,76.16,1.37
Snowden,Snowden,elite,6,4,1,1,High,Hancock,3,258,3,,177,177,177,5.31
Snowden,Snowden,elite,6,4,1,1,High,Sterile,3,275,4,,77.9,77.9,77.9,4.79
Snowden,Snowden,elite,6,4,1,1,High,Sterile,1,321,4,,140.02,140.02,140.02,9
Snowden,Snowden,elite,6,4,1,1,High,Virgin,2,366,5,,100.3,100.3,100.3,9.91
Snowden,Snowden,elite,6,4,1,1,High,Hancock,2,384,5,,55.14,55.14,55.14,6.82
Snowden,Snowden,elite,6,4,1,1,High,Virgin,3,387,5,,,0,0,9.52
Snowden,Snowden,elite,6,4,1,1,High,Sterile,4,395,5,,85.04,85.04,85.04,5.68
