Variety,variety2,Clade,agerank,agerank2,agerank3,agerank4,Nutrient,soil,rep,sample_ID,sunlight,Notes:,tuber,tuber2,tuber3,root
HAO 76-13,HAO 76,bert,1,1,4,5,High,Hancock,1,17,1,,0.76,0.76,0.76,7.12
HAO 76-19,HAO 76,bert,1,1,4,5,Low,Virgin,3,24,1,,24.12,24.12,24.12,1.91
HAO 76-3,HAO 76,bert,1,1,4,5,Low,Sterile,3,31,1,,13.23,13.23,13.22,6.96
HAO 76-11,HAO 76,bert,1,1,4,5,Low,Hancock,3,45,1,,20.33,20.33,20.33,0.52
HAO 76-4,HAO 76,bert,1,1,4,5,Low,Sterile,4,71,1,,29.06,29.06,29.06,1.82
HAO 76-18,HAO 76,bert,1,1,4,5,Low,Virgin,2,75,1,,8.2,8.2,8.2,1.33
HAO 76-5,HAO 76,bert,1,1,4,5,High,Sterile,1,129,2,,,0,0,14.06
HAO 76-8,HAO 76,bert,1,1,4,5,High,Sterile,4,192,3,,71.99,71.99,71.99,12.43
HAO 76-22,HAO 76,bert,1,1,4,5,High,Virgin,2,205,3,,58.77,58.77,58.77,13.04
HAO 76-7,HAO 76,bert,1,1,4,5,High,Sterile,3,207,3,,66.58,66.58,66.58,12.92
HAO 76-21,HAO 76,bert,1,1,4,5,High,Virgin,1,288,4,,88.76,88.76,88.76,18.68
HAO 76-1,HAO 76,bert,1,1,4,5,Low,Sterile,1,322,4,,68.72,68.72,68.72,3.43
HAO 76-14,HAO 76,bert,1,1,4,5,High,Hancock,2,341,5,,87.4,87.4,87.4,15.32
HAO 76-12,HAO 76,bert,1,1,4,5,Low,Hancock,4,363,5,,89.5,89.5,89.5,2.17
HAO 76-17,HAO 76,bert,1,1,4,5,Low,Virgin,1,372,5,,95.35,95.35,95.35,4.53
HAO 76-2,HAO 76,bert,1,1,4,5,Low,Sterile,2,383,5,,86.89,86.89,86.89,5
HAO 76-9,HAO 76,bert,1,1,4,5,Low,Hancock,1,385,5,,69.6,69.6,69.6,3.41
HAO 76-6,HAO 76,bert,1,1,4,5,High,Sterile,2,408,5,,105.27,105.27,105.27,6.7
HHA 6451-4,HHA 6451,bert,1,1,4,5,Low,Sterile,4,2,1,Flowering,,0,0,13.06
HHA 6451-10,HHA 6451,bert,1,1,4,5,Low,Hancock,2,22,1,Flowering,,0,0,15.87
HHA 6451-9,HHA 6451,bert,1,1,4,5,Low,Hancock,1,27,1,Flowering,,0,0,11.06
HHA 6451-1,HHA 6451,bert,1,1,4,5,Low,Sterile,1,40,1,,,0,0,2.79
HHA 6451-6,HHA 6451,bert,1,1,4,5,High,Sterile,2,55,1,Flowering,,0,0,13.27
HHA 6451-8,HHA 6451,bert,1,1,4,5,High,Sterile,4,139,2,Flowering,1.55,1.55,1.55,14.04
HHA 6451-21,HHA 6451,bert,1,1,4,5,High,Virgin,1,184,3,,,0,0,26.06
HHA 6451-5,HHA 6451,bert,1,1,4,5,High,Sterile,1,190,3,,,0,0,37.53
HHA 6451-18,HHA 6451,bert,1,1,4,5,Low,Virgin,2,202,3,,6.75,6.75,6.75,17.11
HHA 6451-23,HHA 6451,bert,1,1,4,5,High,Virgin,3,204,3,,,0,0,26.15
HHA 6451-7,HHA 6451,bert,1,1,4,5,High,Sterile,3,220,3,,,0,0,23.1
HHA 6451-20,HHA 6451,bert,1,1,4,5,Low,Virgin,4,233,3,,16.62,16.62,16.62,15.46
HHA 6451-17,HHA 6451,bert,1,1,4,5,Low,Virgin,1,242,3,,,0,0,9.04
HHA 6451-3,HHA 6451,bert,1,1,4,5,Low,Sterile,3,280,4,,40.54,40.54,40.54,11.38
HHA 6451-19,HHA 6451,bert,1,1,4,5,Low,Virgin,3,286,4,,23.03,23.03,23.03,5.21
HHA 6451-2,HHA 6451,bert,1,1,4,5,Low,Sterile,2,351,5,,,0,25.13,7.49
HHA 6451-24,HHA 6451,bert,1,1,4,5,High,Virgin,4,368,5,,2.01,2.01,2.01,18.66
HHA 6451-15,HHA 6451,bert,1,1,4,5,High,Hancock,3,376,5,,,0,0,22.62
EBS 1797,EBS 1797,and,2,2,3,4,High,Hancock,1,43,1,,,0,0,10.33
EBS 1797,EBS 1797,and,2,2,3,4,Low,Sterile,1,44,1,,11.66,11.66,11.66,6.56
EBS 1797,EBS 1797,and,2,2,3,4,Low,Virgin,3,49,1,,11.63,11.63,11.63,3.03
EBS 1797,EBS 1797,and,2,2,3,4,Low,Hancock,1,53,1,Flowering,12.3,12.3,12.3,1.4
EBS 1797,EBS 1797,and,2,2,3,4,High,Virgin,2,92,1,,,0,0,10.39
EBS 1797,EBS 1797,and,2,2,3,4,High,Sterile,4,117,2,,,0,0,8.06
EBS 1797,EBS 1797,and,2,2,3,4,High,Virgin,1,189,3,,17.48,17.48,17.48,13.95
EBS 1797,EBS 1797,and,2,2,3,4,High,Sterile,1,193,3,,1.21,1.21,1.21,9.14
EBS 1797,EBS 1797,and,2,2,3,4,Low,Hancock,3,206,3,,42.81,42.81,42.81,3.95
EBS 1797,EBS 1797,and,2,2,3,4,Low,Virgin,1,218,3,,25.91,25.91,25.91,4.1
EBS 1797,EBS 1797,and,2,2,3,4,Low,Sterile,4,227,3,Flowering,38.33,38.33,38.33,9.75
EBS 1797,EBS 1797,and,2,2,3,4,High,Hancock,2,232,3,,40.21,40.21,40.21,23.52
EBS 1797,EBS 1797,and,2,2,3,4,High,Virgin,3,269,4,,123.55,123.55,123.55,19.14
EBS 1797,EBS 1797,and,2,2,3,4,High,Hancock,3,274,4,,18.3,18.3,18.3,10.1
EBS 1797,EBS 1797,and,2,2,3,4,Low,Virgin,4,285,4,,32.9,32.9,32.9,2.77
EBS 1797,EBS 1797,and,2,2,3,4,Low,Virgin,2,290,4,,39.45,39.45,39.45,3.3
EBS 1797,EBS 1797,and,2,2,3,4,Low,Sterile,3,304,4,,36.78,36.78,36.78,18.26
