"","X","code","timepoint","sample_ID","Variety","Nutrient","Soil_type","Species","Replicate","Stem_width","Shoot_length","Initial_shoot_Length","initial_Nodes","Tubermass","Tuber_abs","Biomass_shoots","Biomass_Roots","Relsht_avg","Rel_tuber","Rel_root","RST_ratio","barcode_ID","total","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144"
"1",2,"WAC 5_16S_6","16S",6,"WAC_5","Low","Virgin","A",1,3.69,34,9,9,10.71,1,2.1,1.27,0.703517588,0.469736842,0.245173745,"10.08661417","Gh_expt2017_A14",408,0,0.773442853960585,0.736878863614063,0.756345747328626,0.456795576416842,0.490380356999202,0.734301420156945,0.58691764117316,0.739993493559194,0.806142847681315,0.773445196965576,0.766622439204316,0.808158266065799,0.63245711008411,0.412424412466623,0.665032851366628,0.801329610453671,0.232003978832412,0.912237421373146,0.80398161115689,0.582982040164352,0.845039833853595,0.840138119317404,0.812787549263127,0.814934251724064,0.772243622370275,0.768244002539534,0.677273524154925,0.785958896946888,0.727932511532872,0.836538683574747,0.724284371251661,0.803015562099219,0.647798861731747,0.544655525803842,0.806573662956914,0.698011402567791,0.483018096714676,0.649248318272026,0.736893487693762,0.788669345088482,0.620007134686291,0.56120916560515,0.644615732417565,0.704111146643925,0.683834780858199,0.751555973659454,0.847659952175029,1,0.635383646826229,0.576737572679331,0.833257079692984,0.764735868427418,0.689348708312285,0.6989008519554,0.70551030785288,0.855087349373026,0.820808024882346,1,0.922210933431233,0.851949541072482,0.672605230439751,0.772555747283086,0.730916263867039,0.398310517893426,0.796565326380268,0.80499873726024,0.727283686729094,0.804342130693409,0.776063302813068,0.824541448973409,0.829839050062938,0.674806678815939,0.543118895890443,0.81770345332221,0.763293347801529,0.804592190080443,0.708567645111454,0.644615732417565,0.807899741510541,0.783572694319473,0.706536522921834,0.723473570308243,0.639980154546299,0.747988816772899,0.702179611636702,0.492844288122776,0.999821413730303,0.692464876908525,0.697258022498238,1,0.58302913945763,0.452203257230185,0.867496118533585,0.741994785973706,0.749138597800928,0.670824749014592,1,0.568626607712702,0.675643474930893,0.999851983466855,0.999922322701448,1,0.751749255719506,0.750812175530436,0.636792716081864,0.797524389430877,0.766219846036566,0.547495420954224,0.280042141905313,0.601936680613671,1,0.999829506866734,0.564925711654991,0.745124563351056,0.671840756143369,0.99973850012795,0.663035457597382,0.675347236148667,0.585274762503655,0.999720379393928,1,0.197705786570102,0.541094462274822,1,0.99987340273899,1,0.731039370004834,0.436145739014369,0.19049412919382,0.640127150448406,0.564936626414037,0.449134814205734,0.726737103084564,0.697034773271661,0.80131862612635,0.746788232898792,0.667927719098748,0.842874073650993,0.76097322991837,0.626274470186125,1,0.694942505373315,1
"2",9,"HAO 58-9_16S_18","16S",18,"HAO_58","Low","Hancock","SB",1,5.68,39,8,6,0,0,10.37,9.95,1.603401624,0,0.611461054,"1.042211055","Gh_expt2017_A21",807,0.773442853960585,0,0.310786735829811,0.290376405004471,0.57249655162364,0.58206108479205,0.27696777708857,0.611924024067917,0.210434500671363,0.871944609521084,0.360361918773929,0.17250371318236,0.86785040187746,0.524256929134331,0.813229316192042,0.425470050608997,0.233769930810876,0.77780472122552,0.952590690165145,0.398037321442829,0.87295283963656,0.330228712139935,0.291631293456154,0.247297541026016,0.330938115720014,0.701435669851348,0.312414741947335,0.591003887666967,0.346949582963895,0.316001747767264,0.301152832210013,0.940392236953012,0.320819483527737,0.332054677147567,0.678922077004896,0.278689244410502,0.237950052855885,0.467290201282627,0.656269711921551,0.215848908918678,0.163390850594933,0.940069501631284,0.548880859723356,0.511701365924586,0.208749734163095,0.863678412390164,0.279664864852146,0.425293658502758,0.999989693574684,0.496881947440024,0.595522255165028,0.349035197866442,0.305714666289386,0.828561975989965,0.276837617878827,0.382101492849486,0.464619666985113,0.344620805320016,0.794540431708573,0.57923938484739,0.467266320141211,0.268248948391333,0.308122503961904,0.402849604826095,0.700358898584139,0.346303445729919,0.43008228431807,0.325565009882959,0.358150559572744,0.287870382044615,0.340705178488647,0.427840003523423,0.436775322472205,0.490511609353641,0.383174989221504,0.292453753688333,0.359819513649639,0.367267521311902,0.517798700411234,0.427211518203426,0.372530269220932,0.609052663366558,0.555386234807866,0.681697174622927,0.579043554383709,0.710388284138849,0.57007933677311,0.99998298067022,0.700474617001234,0.604388803695069,0.863808526618928,0.727880201934062,0.8573908380831,0.694809706377796,0.744505057167448,0.673298424129041,0.822452599890276,1,0.657345395294563,0.593209791451701,1,0.889956390950667,0.999962315469974,0.728697079437663,0.541000584641306,0.451078108186526,0.582645899863823,0.470480489332272,0.80008266262543,0.823881320183395,0.431562264586519,0.999977777431703,1,0.498211145963879,0.0877093076477575,0.36678928140752,0.999911861564996,0.4908640163551,0.380559726475257,0.698650214533318,1,1,0.819504639835898,0.703484630475467,0.999895520155441,0.999943554987522,1,0.835849206376422,0.636917169279552,0.823319964879387,0.850239037488188,0.464902036285602,0.500847386373788,0.313135045984819,0.735171339815424,0.953459448477337,0.134833469360563,0.317173464327837,0.311713409405534,0.56377237262372,0.418800282524649,1,0.303569001731778,1
"3",12,"Huagalina_16S_77","16S",77,"Huagalina","Low","Virgin","A",2,5.11,30,7,6,0,0,3.44,6.5,0.522796353,0,0.708833152,"0.529230769","Gh_expt2017_A109",514,0.736878863614063,0.310786735829811,0,0.0522314316303325,0.616341822140384,0.637064932100879,0.196036260689922,0.453270327032703,0.10902952620737,0.775243336434075,0.162452815322575,0.159471864447904,0.855554775914436,0.546527726258482,0.660978097111421,0.430120273437546,0.167115424317804,0.633627280963919,0.854633579078195,0.235766297408289,0.72589990907308,0.287713577229703,0.33310603657892,0.203495227307353,0.201257558388397,0.608740206658801,0.19020626657719,0.506982861190651,0.438830452678636,0.459146903347294,0.260990104375719,0.782594212875575,0.162941999118613,0.250277524763748,0.508272882663165,0.205877488278164,0.32804773160872,0.445776879506949,0.499285320705514,0.203058029590822,0.193760692535026,0.929379723042694,0.486314697107277,0.44991017849635,0.29066212842242,0.738539279714312,0.157257774904834,0.261617295774028,0.999987788198515,0.497533783783784,0.467436264808557,0.250962504065072,0.138949713275324,0.700324688939387,0.079816039091693,0.309583858764187,0.334878734847583,0.157079469498385,1,0.578943623574906,0.310500818363677,0.144275350460918,0.100730330041693,0.235623585323181,0.654514016930124,0.115428813725972,0.183243720565149,0.210893565557063,0.20133938888759,0.168416927661617,0.188035366645036,0.240340646774651,0.447168208268543,0.422715677179963,0.0881103749835832,0.0811173104905015,0.0502849437039911,0.250543711321159,0.367433549251731,0.18041076886768,0.111307662527175,0.586768148593917,0.604337841039303,0.526271942919771,0.604784943609125,0.864571209364519,0.721053397351957,0.852980405410975,0.778812390375151,0.620743932347034,0.999878910059629,0.683725585599567,0.696740076139034,0.72243318333555,0.772887278124676,0.70486488778988,0.865055459448459,1,0.756930936271351,0.715382958117976,0.85939362788141,0.878838952116019,0.87081211642347,0.900165259321305,0.564374016952892,0.564641681397272,0.603088586560342,0.52694075597532,0.771750177826869,0.795427430341081,0.554418921855436,0.90535462668329,0.999707639284099,0.573292247304876,0.240578755920517,0.427363069332746,0.999483522307982,0.623031803770505,0.445141850707095,0.536339983286929,0.999796143261285,0.933121316474261,0.789660601178926,0.555858244759956,1,0.903498078627784,0.875881788255951,0.817620474763332,0.595690906361043,0.7940145684442,0.716097612766807,0.589997953571019,0.55777370419292,0.271540863803387,0.597412054777487,0.801964593834491,0.207291693784388,0.209653489039916,0.303819497920838,0.732976725732503,0.388384904891566,0.949188495880815,0.3354961759875,0.88132927661472
"4",13,"WAC 5_16S_78","16S",78,"WAC_5","High","Virgin","A",1,5.99,38,10,10,0,0,23.58,8.61,7.899497487,0,1.662162162,"2.738675958","Gh_expt2017_A110",729,0.756345747328626,0.290376405004471,0.0522314316303325,0,0.639882145653036,0.658842818991223,0.238230348999366,0.487457297496869,0.0956068489844468,0.742112945732339,0.198408619957539,0.123784493048461,0.861712352311926,0.552142336888035,0.619726188208417,0.36482028496281,0.159930186576596,0.658701655429107,0.814403565287833,0.251314981917808,0.740086561866115,0.247059814368779,0.321447937729362,0.195204691510295,0.201125177245104,0.576095458922073,0.137159917386583,0.479620886893383,0.376176978553108,0.429629580954935,0.219666609554259,0.79018762531471,0.130586348840077,0.22742960025566,0.539895228895462,0.155591002731293,0.303051947990075,0.434468926797408,0.471834955303601,0.143083976777206,0.141226560574995,0.935087621174862,0.519116740129158,0.482020235718152,0.325237131924332,0.698759410563366,0.199512269562329,0.259556483056318,0.999559960976285,0.527145478469018,0.50110562681836,0.237907659384717,0.167226078193944,0.662923063506426,0.123561064253166,0.347369995784015,0.347966486701919,0.151881545021992,0.999757885784171,0.549305769160363,0.270342832044973,0.172086693121801,0.134596646630927,0.245481130890953,0.678744802896116,0.163248431407318,0.219827374325566,0.252938549322217,0.193062784631583,0.206205185199383,0.228920315942706,0.200563301385749,0.4784749846175,0.458282180462235,0.0927955327410603,0.0789417738971536,0.0948892227516111,0.291616344973899,0.404172281423534,0.193841658501276,0.121590730803245,0.556503683295858,0.552872569601817,0.496872867467727,0.589922227252597,0.87228793048783,0.7343915167904,0.792053663123904,0.791041505804483,0.588302220037085,0.999887252221521,0.642439057442628,0.682047682465631,0.720133404924964,0.733669067743473,0.676063821745731,0.872967090434447,0.999414902766331,0.77228630335758,0.729275321703982,0.800127430470799,0.826101309184323,0.880040275066702,0.906220617579596,0.546044267654716,0.587173341545993,0.581521612541552,0.464531647243887,0.786723583950468,0.810468956347823,0.572385810149034,0.862252846412261,0.999808898641761,0.530074343813908,0.221655361395052,0.348877966812239,0.999617596444263,0.644843423057673,0.461019124468457,0.504532383932072,0.999648498464546,0.937936562311305,0.805525494109597,0.525760081280417,0.99985119494534,0.859794735984695,0.822437888842973,0.827118656135769,0.581885585296582,0.809584618842327,0.675644965435713,0.613003245704426,0.574701817046982,0.260561095834018,0.56613520526944,0.807978709820314,0.18986176395103,0.181010317307115,0.313165094885725,0.694441228170721,0.315872047286659,0.953333694862734,0.264219010576359,0.829052477377844
"5",14,"Cor C. 135-15_16S_80","16S",80,"Cor_C_135","High","Hancock","C",3,4.64,24,11,11,13.22,1,15.64,2.95,6.117339489,0.493344882,3.030822956,"9.783050847","Gh_expt2017_A111",661,0.456795576416842,0.57249655162364,0.616341822140384,0.639882145653036,0,0.0788550379800656,0.708717613454502,0.438542919712532,0.708587631882412,0.708781667754715,0.740249835400722,0.480773466754775,0.794039467443368,0.2516723608789,0.442220337022186,0.362681422598837,0.57360728226953,0.304827652103289,0.817548083028518,0.770266584490365,0.553039493098305,0.635502951635699,0.807713571442691,0.617409989409078,0.574140978424071,0.65969807623577,0.655034665965038,0.405147225318595,0.51731406162404,0.502357821086011,0.61781821520578,0.618882997427782,0.611663190558672,0.515893422525747,0.401360255248452,0.620698924110487,0.670727228328359,0.506983960235007,0.499049450403204,0.616524793266077,0.680426035714418,0.833712564714835,0.582621557874325,0.639008084982835,0.463066359845105,0.618027502187098,0.691481759985359,0.670972667235582,0.998842696966964,0.35039583869216,0.462973884006475,0.611022056568673,0.629287684127814,0.557899280132678,0.675960755419397,0.685374565738611,0.687755459968255,0.635452428287989,0.508851545650611,0.870283480498268,0.76588027714363,0.555960793252792,0.590855138132895,0.588602243904668,0.490725202144381,0.76413275692042,0.704824158608395,0.643666176479315,0.724290783662561,0.625537712501486,0.707918246873448,0.735222487492952,0.362574700539687,0.568530817080867,0.698453770632359,0.546280324224106,0.680717870506659,0.620099526641583,0.494709662933962,0.705509054449036,0.674152160753569,0.356635574677917,0.402139094780455,0.489785707542717,0.446315183458209,0.500360464797682,0.241981209251593,0.76921846117511,0.36633114640431,0.277244897411161,0.696537562393378,0.293970411482799,0.47040147462351,0.630170375258713,0.432579778409983,0.458910463646974,0.656975529952313,0.999849864878391,0.325341334201419,0.426643664531754,0.788958470759908,0.620698359574157,0.797494051076969,0.50213166354848,0.376894239543483,0.374168763479511,0.539403760977074,0.47974456086031,0.587598726502877,0.576429159585837,0.328800874528459,0.893304862139761,1,0.564169821945896,0.713393617950081,0.31487552943428,0.99933744039243,0.357150884668194,0.474903015646141,0.437049348105038,0.999584965370548,0.865121900532666,0.551308876179848,0.409105333424339,0.999875373878365,0.88991665667872,0.833967202170086,0.715951692968808,0.190750497699765,0.559191176470588,0.568903993203059,0.282840472301454,0.288469363943354,0.454526400634612,0.550102453895747,0.667946439019498,0.530818083349427,0.537529860441725,0.571860892158146,0.552517480591155,0.493113507918821,0.879396749566765,0.567558540303981,0.846151582938969
"6",15,"Cor C.56-18_16S_81","16S",81,"Cor_C_56","Low","Virgin","C",2,4.91,28,9.5,6,30.2,1,3.19,1.92,0.446361732,0.366445574,0.188073764,"17.390625","Gh_expt2017_A112",653,0.490380356999202,0.58206108479205,0.637064932100879,0.658842818991223,0.0788550379800656,0,0.737188198894886,0.476315534657934,0.733974186799361,0.709089345094747,0.762155323420311,0.476280094375687,0.799310935179849,0.248055090202319,0.455012164416189,0.395152133792982,0.590844906861033,0.327319257837492,0.814377335721421,0.789102852829702,0.560790294592223,0.643772522111307,0.822967290379025,0.632929772874227,0.544293315057479,0.677037073520131,0.672775550518057,0.438497830139954,0.490973150794313,0.500519111544712,0.59014692953464,0.624992217355926,0.628076081875097,0.544840943441085,0.443500818242308,0.636716758205211,0.700600021781765,0.557600671005881,0.530641023892708,0.637025029121324,0.696576769152348,0.847039861388053,0.628501766692309,0.676494343864533,0.470587913997052,0.6217948132948,0.718942324117429,0.682101298831402,1,0.400415637194911,0.51359311276142,0.583009430807607,0.649012917616162,0.568719343518027,0.701257302514605,0.716726318301121,0.696974932302257,0.651154291271478,0.530392826905763,0.875090155848695,0.776221698384211,0.590792169654515,0.612926589026957,0.611560678264615,0.551287663666751,0.78592109001495,0.716348062724454,0.674604639141768,0.743959290852269,0.649807934181176,0.72835249131073,0.747467506032112,0.408467633134643,0.611764990914597,0.712833342044502,0.566838663861116,0.696269666846173,0.653488050835751,0.532224466178039,0.719854933899315,0.690481811875525,0.389217909474162,0.365063234910675,0.522386009888299,0.410756580568855,0.428795114939563,0.208415556233683,0.765932831590069,0.300735816061562,0.313607479389435,0.713831478537361,0.312569095443111,0.484605637992582,0.596777516228786,0.441779816357202,0.419794652932542,0.671407010873191,1,0.38293019361095,0.392395042984906,0.78483740526405,0.625139897420592,0.793188307183217,0.419357966682415,0.329321323200334,0.338290455511022,0.508068277279521,0.445761226804275,0.620835994355099,0.602751886373724,0.29214244715127,0.887819158836545,0.999518254472637,0.607060447262297,0.738203442819343,0.348532396202961,0.999419196484321,0.376487624090241,0.512009626677309,0.474942379439248,0.999491904228624,0.872929340175681,0.580574986266252,0.448467575665156,0.999867827709532,0.884519091432861,0.828407189780793,0.734809083745254,0.220307653179521,0.5880291368884,0.574592565464201,0.309562373340219,0.350810883371738,0.476510692956189,0.576653949184187,0.670535027246031,0.514353661300923,0.564585813519453,0.534896372734947,0.522827521601122,0.52432472129789,0.888777306251147,0.592135205092733,0.84072548960718
"7",16,"P. Cacho-9_16S_82","16S",82,"P_Cacho","Low","Hancock","C",1,5.32,50,9,6,66.62,1,5.18,1.25,1.033416459,0.947114018,0.761035008,"57.44","Gh_expt2017_A113",317,0.734301420156945,0.27696777708857,0.196036260689922,0.238230348999366,0.708717613454502,0.737188198894886,0,0.423349591489635,0.202866418325038,0.832338856787036,0.276635238092795,0.261391859407234,0.827250538595269,0.654105534323443,0.785654668020641,0.505088883328444,0.343079434846347,0.733053247732475,1,0.350106630458492,0.805916383221132,0.45745934135236,0.443938907020178,0.372361648115376,0.378039767195421,0.697952029933941,0.265666813437576,0.512482488374854,0.495445292937468,0.427806203878248,0.434339229098724,0.902456566425946,0.347316234848032,0.269838271301998,0.515284520374548,0.356984564111526,0.266473573561706,0.395657038365487,0.50279631183214,0.222552343286929,0.313090402717735,0.897039672480033,0.322052980753087,0.292126803141475,0.171067977042331,0.806142797356606,0.0432497225310726,0.408541034104261,0.999655978206165,0.416770675905683,0.396321052833688,0.42552701545985,0.0751920600980292,0.757065397325487,0.118829396440179,0.131618961560226,0.48563969391804,0.229958138131633,1,0.695581606590363,0.47705715729887,0.11377915471223,0.274813082182356,0.174243000877124,0.527103398982358,0.160167818755856,0.3517659223928,0.0639086533576426,0.350402317764385,0.282684053282896,0.241783309837376,0.416265621103723,0.361701387507553,0.28220940267004,0.221446347095464,0.253960018850137,0.182618504990342,0.111799854202917,0.300772918986047,0.359090162126522,0.300200516275833,0.612430165770961,0.705651219239223,0.5372987205183,0.699738504935537,0.828835126369057,0.752044467624081,0.999838347443766,0.813481073055442,0.655917729158434,0.999928825574835,0.745054995757127,0.774364911726727,0.757627543408481,0.844284883637218,0.794204829215772,0.825342321695167,1,0.679580028224153,0.726843956344545,1,1,1,0.870087725629004,0.582357487938082,0.544674683189512,0.684061957230927,0.603181047721601,0.698300615764405,0.714630267753696,0.538936876778317,1,1,0.56192330651559,0.21474925665873,0.500606920287215,0.999931564381743,0.518296560134977,0.406872981207259,0.551787765080143,0.999707445122806,1,0.70316004043134,0.681212976008956,1,1,1,0.773088631229112,0.747463539860846,0.709024962656151,0.782445594913899,0.570487312566905,0.540634824864292,0.27665165514062,0.626347912721402,0.924951696062916,0.217780530149948,0.233926807526888,0.299866342220933,0.754523047432746,0.458331500796658,1,0.385555305089678,1
"8",17,"HAO 58-23_16S_85","16S",85,"HAO_58","High","Virgin","SB",3,7.3,28,11,9,0,0,30.5,24.07,4.715887128,0,1.47918267,"1.267137516","Gh_expt2017_A114",606,0.58691764117316,0.611924024067917,0.453270327032703,0.487457297496869,0.438542919712532,0.476315534657934,0.423349591489635,0,0.564009684270491,0.687743824863949,0.612046354256194,0.506035535060355,0.789914587117378,0.417233252817426,0.487861392491769,0.33384717945063,0.570105588782494,0.378167592754093,0.875458236001485,0.657575902909593,0.504263823546619,0.654919083416013,0.714166250573397,0.597630946440151,0.596077093638069,0.54650644306469,0.509387944813608,0.192072371073112,0.541272405333637,0.547382548483145,0.637972462825014,0.558267356608224,0.573078021133288,0.306868111122609,0.106204608186677,0.580000843799131,0.506020830152613,0.252932188342827,0.158448564844403,0.453733747177896,0.546146073238344,0.824332061068702,0.163960270759729,0.280548488285361,0.477791374643082,0.58454115167978,0.420232101641537,0.618860063210229,1,0.178327008568365,0.0508919864505842,0.631585536718695,0.350265602554275,0.522853741350652,0.507663478212228,0.375314950849924,0.675104637022198,0.481070589073296,0.999633296663,0.817373881318557,0.66872807539577,0.377578001265934,0.526810541184978,0.27700439216854,0.290677524101149,0.535131097033367,0.577026388388573,0.350369109681204,0.611110563485711,0.615892070476889,0.589265333047362,0.624862788942125,0.239707436001625,0.22796399241253,0.473571656889352,0.500039858282732,0.441880358248591,0.31074951733584,0.125238839673441,0.58245918658436,0.536957869141649,0.344514844086763,0.528918013684966,0.1989250576001,0.53520325545368,0.773727823853545,0.662483864149962,0.71744418731358,0.632489802384064,0.394755797414624,0.999604769119294,0.450098458607122,0.411570970664799,0.641841588397919,0.654681903017427,0.649722958693644,0.761784148882661,1,0.551051674963041,0.657412375539369,0.742577510176897,0.807290784650376,0.753643215970003,0.821842321058066,0.33876406259051,0.427609460196171,0.563002482710627,0.505348817591317,0.572247054779767,0.555561683119175,0.400800482655943,0.87250979269344,0.999525247908921,0.421468578834668,0.571086323078884,0.344778125716109,0.998597649675809,0.356035195947817,0.476396557287914,0.181965334818116,0.999613731087308,0.85847543323847,0.52756229270031,0.409150836569715,0.99985147649834,0.868520107280049,0.799155180738259,0.708526642137898,0.45795176152912,0.535990712074303,0.5301249112253,0.432546148896521,0.364961895834344,0.427454048271836,0.356264450494563,0.613012518327696,0.573604780531955,0.338186889123952,0.536078072788859,0.705811164567285,0.273517745510707,0.871665482998792,0.382258736199393,0.814643482663617
"9",18,"WAC 5_16S_89","16S",89,"WAC_5","Low","Hancock","A",3,5.38,39,11,12,8.62,1,9.06,8.61,3.035175879,0.378070175,1.662162162,"2.053426249","Gh_expt2017_A115",748,0.739993493559194,0.210434500671363,0.10902952620737,0.0956068489844468,0.708587631882412,0.733974186799361,0.202866418325038,0.564009684270491,0,0.860908015740021,0.179303466083646,0.181539255125659,0.856495186215173,0.649408833522084,0.789295264070245,0.48193000557366,0.152140264028214,0.747026562170407,0.948125256292482,0.235674541883569,0.856389618052666,0.285574591777959,0.266187920875421,0.184531016544024,0.286929964736429,0.677889520237454,0.224117098935982,0.619915763809189,0.426108944619072,0.404409733402045,0.258898511837294,0.931122507618665,0.217695064968316,0.265112961558731,0.637890461716304,0.188716112085466,0.209515142091447,0.403765062723571,0.616574917263308,0.177137217705969,0.171310186257055,0.930255905138939,0.491439041098631,0.454769629216346,0.295817200163536,0.848589137444242,0.184551531856921,0.343408233341913,1,0.552176339285714,0.544969152841525,0.309277196019368,0.238797334613632,0.809706336939722,0.0866227889757301,0.315547584887614,0.406835861526142,0.242880806890967,1,0.574910457874867,0.3370111751744,0.197458720330237,0.172842094296449,0.341468592049477,0.657927603937656,0.140233350932824,0.270337042925278,0.255560477908247,0.192916321458161,0.187566702203279,0.21035900467566,0.281714249029209,0.502662139622204,0.428422361591695,0.19254210300835,0.174684815367916,0.159137644597588,0.299452693698839,0.461577864404719,0.268802745937776,0.197530906126885,0.694230439993151,0.665966675113574,0.644387844394547,0.685787820907119,0.865878092409675,0.720074713855385,1,0.853666760046809,0.729616935017782,1,0.807476968493917,0.837345065790595,0.790315798267844,0.876318000704741,0.787600405295833,0.86633136691373,0.99993178872695,0.759347345635783,0.71722048422846,1,0.999877900571312,0.999893841873921,0.901077825506668,0.663766416551734,0.568001667913421,0.676350949055751,0.563945540427897,0.774465515643048,0.797821339825807,0.551829786492223,1,1,0.442666557538059,0.133263313065307,0.45497650867871,1,0.626621115564024,0.437526778511179,0.661325130044065,1,1,0.792059738943711,0.669952360906768,1,0.999811237928007,1,0.818949250615001,0.696883908872307,0.796393153104198,0.832377981657847,0.593613563498691,0.55109532267614,0.362344820371518,0.706380015191013,0.946634421604192,0.14886934768947,0.251009549147228,0.381909563580437,0.665965061570414,0.358921756898139,1,0.306519974228666,0.999892263513973
"10",20,"Burbank_16S_91","16S",91,"Burbank","Low","Hancock","E",4,6.99,30,6,8,84.11,1,2.6,0.86,0.976525822,1.363485309,1.23297491,"100.8255814","Gh_expt2017_A117",840,0.806142847681315,0.871944609521084,0.775243336434075,0.742112945732339,0.708781667754715,0.709089345094747,0.832338856787036,0.687743824863949,0.860908015740021,0,0.87183761814646,0.768698389096006,0.859432399484777,0.711504113148103,0.555097591551429,0.616347457896411,0.819933136225395,0.687610630884531,0.156124612271137,0.883166132148292,0.717044401213499,0.723884629182468,0.89818676564922,0.831079613138457,0.777294102863939,0.108215655086123,0.693912077147381,0.583371344246554,0.487074593110309,0.856940787679796,0.752325911226034,0.768979470640622,0.759096804215298,0.748859939674534,0.660020488160689,0.589542939332946,0.848454147193513,0.803766552051714,0.553328746588683,0.717292514285731,0.731721913959652,0.927929782009541,0.791069427142047,0.808018703419057,0.842774350345859,0.291246649469848,0.816570963050205,0.772787074604432,0.999900225088192,0.754341921414487,0.719851735952595,0.808279124998573,0.732512799668511,0.293578902249164,0.848821552247513,0.823708555314293,0.83525418765461,0.638082469919554,0.99985536029195,0.883854064976701,0.781751353834108,0.778994132623952,0.81107059103145,0.697483231410416,0.767261539844575,0.854529248052768,0.815556279861295,0.791667460350719,0.848072948844598,0.872900704162659,0.866674443716592,0.699358553562086,0.763066308480293,0.800136312478421,0.680813305217621,0.722097692336559,0.76677015259283,0.781264009648294,0.717448356555035,0.791186187214314,0.776980684901535,0.51156058642023,0.638077877949879,0.537664310650335,0.74999390859246,0.862814596222031,0.805107341609605,0.752470303068458,0.775900383955175,0.612304676022556,0.999573880734259,0.566507143390442,0.651846950065041,0.808434736581588,0.566177477452523,0.429404874476622,0.862846893751418,0.99963192371619,0.792212397189929,0.842510591433009,0.772055071549191,0.71957729445488,0.86877628952515,0.898583535680885,0.696727382867671,0.833133046567609,0.433023108015367,0.743754701705714,0.788375715014829,0.791740555195244,0.825266452723474,0.236068078345097,0.999974669262614,0.817851574293687,0.862462098369204,0.671314665692405,0.999738622523745,0.812156749383729,0.842309370787932,0.590627982550541,0.999754745528015,0.931773911340418,0.785919905891402,0.563665009607515,0.999640224191725,0.320114645082551,0.729032352088216,0.83127600056023,0.662400871389632,0.790172168460915,0.4716698879809,0.817728288655098,0.79841599009655,0.718802941398056,0.484199827264691,0.789323588345125,0.863011502609654,0.732337880210033,0.781361420116048,0.867509834806509,0.68381341564287,0.948134432027341,0.701226807407587,0.586131250663634
