,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
16S2HAO_58High,0.974953374,0.806791263,0.744590529,0.92765562,0.899470256,0.854413772,0.826786395,0.858270117,0.866881879,0.860940695,0,0.912121212,0.840008896,0.871357986,0.897986937,0.841009646,0.912121212,0.877608804,0.961938282,0.890647482,0.960716925,0.876779001,0.894849588,0.855969272,0.932536894,0.881734262,0.784085341,0.922451994,0.89391445,0.910337727,0.912121212,0.848161257,0.946564885,0.906182298,0.912121212,0.886698692,0.912121212,0.886290954,0.865151515,0.918460159,0.871361014,0.903020458,0.912121212,0.86243856,0.886509591,0.905937467,0.98045063,0.834345186,0.883804282,0.912121212,0.955675676,0.889601462,0.665957809,0.912121212,0.881230534,0.912121212,0.8982249,0.878327694,0.879806446
16S2HAO_58Low,0.880573097,0.771652471,0.780208392,0.864810031,0.795823503,0.651161959,0.636033164,0.764925441,0.80652857,0.880326253,0.912121212,0,0.803209096,0.719903107,0.726317094,0.726475906,0.790303095,0.791581786,0.758992711,0.860282009,0.893036127,0.753198236,0.924924472,0.670144011,0.870515065,0.706808961,0.728527408,0.834768712,0.731755506,0.756189498,0.741410663,0.687445779,0.946564885,0.7915173,0.716965214,0.67762761,0.797843767,0.737241989,0.766651264,0.797822237,0.694416739,0.707461589,0.770354673,0.790235134,0.77138495,0.747271173,0.874641602,0.870163487,0.730210311,0.773035567,0.828985942,0.781717938,0.787631627,0.717749434,0.742169237,0.720554979,0.711637129,0.682799309,0.690846322
16S2HAO_76High,0.923620623,0.645994966,0.63988488,0.811565669,0.687922033,0.767556035,0.612825543,0.762160101,0.653352112,0.810771237,0.840008896,0.803209096,0,0.607523671,0.809516702,0.68803393,0.87100162,0.73079728,0.813077781,0.841037955,0.923273613,0.698345671,0.823128189,0.820378186,0.709035308,0.699130467,0.699450516,0.787985491,0.76944393,0.769915147,0.756221226,0.824219707,0.946564885,0.751705153,0.722886223,0.756049895,0.731368635,0.82008833,0.879387364,0.830074703,0.728306378,0.807262012,0.826206177,0.870990703,0.814295718,0.763524472,0.842119502,0.786692798,0.808746244,0.826479905,0.909075355,0.790623812,0.747351003,0.798340779,0.857799181,0.797268529,0.796996715,0.800273,0.763014454
16S2HHA_6451High,0.969810734,0.586375863,0.734276358,0.879909451,0.68286813,0.709897883,0.608093792,0.792463829,0.6781692,0.793874608,0.871357986,0.719903107,0.607523671,0,0.795831689,0.736944019,0.817610063,0.774599549,0.829857381,0.739809193,0.947307793,0.67729161,0.910329131,0.806814235,0.737860657,0.738826247,0.637428537,0.79394387,0.736035139,0.674629574,0.716324615,0.794357772,0.897995935,0.768364745,0.678059202,0.765616524,0.845620121,0.811210552,0.832764011,0.670913568,0.715704137,0.773777153,0.83646742,0.793366749,0.808950642,0.752336203,0.864404082,0.789245447,0.794988676,0.805314836,0.861609433,0.808988356,0.814949572,0.767129823,0.826961506,0.717595295,0.799616424,0.765779814,0.7213682
16S2HHA_6451Low,0.852194153,0.840799276,0.824941537,0.846992941,0.829153233,0.738347883,0.787302619,0.797751518,0.805164559,0.880042819,0.897986937,0.726317094,0.809516702,0.795831689,0,0.811599168,0.813760796,0.812508913,0.847121643,0.950818082,0.836241277,0.848550015,0.86522144,0.752330188,0.876366475,0.748221488,0.785932824,0.7970599,0.783347405,0.804331678,0.820906339,0.83618068,0.946564885,0.76228417,0.782818923,0.725118981,0.877016093,0.836433394,0.852865886,0.889819169,0.7926001,0.760427304,0.84196845,0.865581022,0.816181575,0.813373222,0.819445719,0.826705086,0.755459149,0.780696609,0.848321057,0.831773298,0.805262545,0.810974973,0.855455451,0.804301494,0.820033753,0.804659622,0.7641513
16S2HuagalinaHigh,0.926687104,0.669921177,0.627919098,0.833228387,0.626914545,0.800333862,0.516149424,0.865082879,0.613589113,0.898617609,0.841009646,0.726475906,0.68803393,0.736944019,0.811599168,0,0.870040972,0.754662148,0.893158139,0.935021128,0.921947447,0.642605434,0.867293311,0.784407806,0.795837971,0.770188382,0.641255304,0.840196577,0.633134497,0.792068268,0.682995492,0.70843997,0.946564885,0.789321851,0.697947139,0.696648638,0.737986379,0.744485981,0.774954596,0.825221664,0.617843473,0.718645547,0.759164912,0.70460422,0.698924102,0.654589167,0.893486038,0.763196962,0.680215897,0.827666208,0.908472113,0.687672364,0.731764229,0.704054425,0.703895861,0.666612163,0.688044864,0.65203974,0.700273688
16S2HuagalinaLow,0.757476764,0.872833062,0.877287797,0.841569238,0.833051976,0.851091538,0.776137298,0.84886221,0.855083165,0.837590513,0.912121212,0.790303095,0.87100162,0.817610063,0.813760796,0.870040972,0,0.861709376,0.653436711,0.85115304,0.897723228,0.790248729,0.893115859,0.683782656,0.886858749,0.693906997,0.778795838,0.56921026,0.848662322,0.814962572,0.848098565,0.838805611,0.946564885,0.733819891,0.834914544,0.847517375,0.895178197,0.852095601,0.833753136,0.877857917,0.81181102,0.832370726,0.837456545,0.895178197,0.873655018,0.852887991,0.776418277,0.894189072,0.801740644,0.827800299,0.836595841,0.852465935,0.853382785,0.827962834,0.856316156,0.858837581,0.853266036,0.84257758,0.778809827
16S2NorkodahHigh,0.851442605,0.776969054,0.699210888,0.755271997,0.61762495,0.777318169,0.777040098,0.803792239,0.717201072,0.764717398,0.877608804,0.791581786,0.73079728,0.774599549,0.812508913,0.754662148,0.861709376,0,0.81337539,0.912230745,0.880910812,0.722485956,0.64029946,0.827184954,0.779487556,0.69718566,0.728806666,0.774290495,0.809348605,0.802824353,0.834061757,0.864224029,0.946564885,0.761927349,0.840039741,0.822626058,0.89664085,0.889779032,0.912307551,0.815924098,0.806342677,0.825113745,0.891672631,0.859837217,0.83880611,0.811224711,0.876434728,0.82583693,0.821398383,0.865382031,0.901613328,0.843931119,0.804074587,0.874595282,0.874470033,0.807467213,0.824709106,0.831762048,0.838653854
16S2NorkodahLow,0.628651113,0.931926852,0.840841539,0.743485069,0.79448325,0.740894451,0.810854203,0.657988924,0.851277082,0.907405366,0.961938282,0.758992711,0.813077781,0.829857381,0.847121643,0.893158139,0.653436711,0.81337539,0,0.851556922,0.756904045,0.844351996,0.765536494,0.661354104,0.915074695,0.588470253,0.825932436,0.644735709,0.889016536,0.812892167,0.886602999,0.921624303,1,0.746826496,0.91226069,0.875792927,0.975369995,0.932707881,0.938574939,0.869894961,0.84841796,0.920405612,0.901884369,0.986574795,0.899247266,0.889009567,0.726030087,0.911284576,0.880993682,0.82415775,0.901945153,0.931913739,0.846103245,0.881402964,0.959026044,0.928433528,0.883330792,0.891622928,0.841254828
16S2RangerHigh,0.967400256,0.878753241,0.813954402,0.955058143,0.859136369,0.778649134,0.790507582,0.815814162,0.865319121,0.916546763,0.890647482,0.860282009,0.841037955,0.739809193,0.950818082,0.935021128,0.85115304,0.912230745,0.851556922,0,0.946799541,0.71542696,0.96355499,0.936115583,0.853569063,0.879655831,0.863904428,0.91211226,0.911242543,0.757858491,0.965023242,0.922177522,1,0.943044372,0.958568738,0.950328308,0.971223022,0.956917404,0.938574939,0.719835576,0.90282532,0.930345392,0.942278348,0.980725624,0.939868259,0.936785378,0.911982512,0.952298352,0.948537962,0.936515202,0.924324324,0.847494133,0.885745075,0.932784636,0.941251245,0.946365826,0.952564946,0.903015098,0.877474901
