Variety,variety2,Clade,agerank,Nutrient,soil,rep,id,Notes:,tuber,tuber2,shoot,root,,,reltub
P. Cacho-15,P. Cacho,chil,3,High,Hancock,3,54,,50.43,50.43,28.66,8.23,1.674858851,,1.674858851
P. Cacho-16,P. Cacho,chil,3,High,Hancock,4,317,,116.85,116.85,26.13,4.18,3.880770508,,3.880770508
P. Cacho-5,P. Cacho,chil,3,High,Sterile,1,52,,30.65,30.65,19.52,8.66,1.017934241,30.11,1.017934241
P. Cacho-6,P. Cacho,chil,3,High,Sterile,2,26,,,0,24.1,9.96,0,,0
P. Cacho-7,P. Cacho,chil,3,High,Sterile,3,277,,67.45,67.45,20.44,11.12,2.240119562,,2.240119562
P. Cacho-8,P. Cacho,chil,3,High,Sterile,4,100,,22.34,22.34,26.68,21.16,0.741946197,,0.741946197
P. Cacho-21,P. Cacho,chil,3,High,Virgin,1,56,,18.94,18.94,16.99,8.12,0.629026901,,0.629026901
P. Cacho-22,P. Cacho,chil,3,High,Virgin,2,350,,157.52,157.52,19.58,2.49,5.231484557,,5.231484557
P. Cacho-24,P. Cacho,chil,3,High,Virgin,4,123,,49.96,49.96,28.28,12.97,1.659249419,,1.659249419
P. Cacho-10,P. Cacho,chil,3,Low,Hancock,2,141,,100.78,100.78,7.41,0.95,1.432755189,,1.432755189
P. Cacho-11,P. Cacho,chil,3,Low,Hancock,3,359,,100.8,100.8,7.44,1.16,1.433039522,,1.433039522
P. Cacho-9,P. Cacho,chil,3,Low,Hancock,1,82,,66.62,66.62,5.18,1.25,0.947114018,,0.947114018
P. Cacho-1,P. Cacho,chil,3,Low,Sterile,1,325,,90.75,90.75,5.48,2.59,1.29016207,70.34,1.29016207
P. Cacho-2,P. Cacho,chil,3,Low,Sterile,2,369,,102.25,102.25,5.67,1.25,1.453653682,,1.453653682
P. Cacho-3,P. Cacho,chil,3,Low,Sterile,3,404,,,0,2.72,1.17,0,,0
P. Cacho-4,P. Cacho,chil,3,Low,Sterile,4,327,,88.36,88.36,6.18,1.56,1.256184248,,1.256184248
P. Cacho-19,P. Cacho,chil,3,Low,Virgin,3,339,,118.65,118.65,5.14,1.51,1.686806938,,1.686806938
P. Cacho-20,P. Cacho,chil,3,Low,Virgin,4,95,,86.24,86.24,5.68,2.06,1.226044925,,1.226044925
Burbank,Burbank,elite,5,High,Hancock,3,323,,102.34,102.34,12.35,4.47,0.83500255,,0.83500255
Burbank,Burbank,elite,5,High,Hancock,4,113,,113.55,113.55,34.62,5.85,0.926466089,,0.926466089
Burbank,Burbank,elite,5,High,Hancock,1,131,,124.32,124.32,22.47,7.37,1.014339623,,1.014339623
Burbank,Burbank,elite,5,High,Hancock,2,309,,174.46,174.46,13.58,8.62,1.423437022,,1.423437022
Burbank,Burbank,elite,5,High,Sterile,3,142,,137.02,137.02,21.64,7.81,1.117960224,122.5625,1.117960224
Burbank,Burbank,elite,5,High,Sterile,2,407,,162.18,162.18,19.75,5.72,1.323243243,,1.323243243
Burbank,Burbank,elite,5,High,Sterile,4,243,,191.05,191.05,19.27,7.32,1.558796532,,1.558796532
Burbank,Burbank,elite,5,High,Sterile,1,347,,,0,13.79,4.11,0,,0
Burbank,Burbank,elite,5,High,Virgin,3,30,,45.98,45.98,39.71,9.67,0.375155533,,0.375155533
Burbank,Burbank,elite,5,High,Virgin,1,132,,142.23,142.23,22.81,11.09,1.160469148,,1.160469148
Burbank,Burbank,elite,5,High,Virgin,2,343,,156.24,156.24,16.51,7.6,1.274778174,,1.274778174
Burbank,Burbank,elite,5,High,Virgin,4,114,,161.11,161.11,29.56,4.78,1.314513004,,1.314513004
Burbank,Burbank,elite,5,Low,Hancock,4,91,,84.11,84.11,2.6,0.86,1.363485309,,1.363485309
Burbank,Burbank,elite,5,Low,Hancock,2,331,,84.91,84.91,2.88,0.71,1.376453901,,1.376453901
Burbank,Burbank,elite,5,Low,Hancock,1,219,,103.03,103.03,2.1,0.81,1.670192503,,1.670192503
Burbank,Burbank,elite,5,Low,Sterile,2,261,,66.5,66.5,2.03,0.49,1.078014184,61.6875,1.078014184
Burbank,Burbank,elite,5,Low,Sterile,1,198,,83.16,83.16,2.86,0.72,1.348085106,,1.348085106
Burbank,Burbank,elite,5,Low,Sterile,3,248,,97.09,97.09,2.74,1.31,1.573900709,,1.573900709
Burbank,Burbank,elite,5,Low,Sterile,4,403,,,0,3.02,0.27,0,,0
Burbank,Burbank,elite,5,Low,Virgin,1,140,,60.94,60.94,2.93,1.6,0.987882472,,0.987882472
Burbank,Burbank,elite,5,Low,Virgin,4,272,,80.51,80.51,2.75,0.76,1.305126646,,1.305126646
Burbank,Burbank,elite,5,Low,Virgin,3,246,,94.82,94.82,2.51,1.44,1.53710233,,1.53710233
Burbank,Burbank,elite,5,Low,Virgin,2,380,,,0,2.41,1.27,0,,0
Norkodah,Norkodah,elite,6,High,Hancock,2,39,,119,119,10.84,1.06,1.09331455,,1.09331455
Norkodah,Norkodah,elite,6,High,Sterile,2,200,,99.19,99.19,4,1.07,0.911309834,108.8433333,0.911309834
Norkodah,Norkodah,elite,6,High,Sterile,3,86,,112.25,112.25,7.37,1.28,1.031298809,,1.031298809
Norkodah,Norkodah,elite,6,High,Sterile,4,365,,115.09,115.09,9.81,0.62,1.057391358,,1.057391358
Norkodah,Norkodah,elite,6,High,Virgin,2,57,,128.8,128.8,8.48,0.89,1.183352219,,1.183352219
Norkodah,Norkodah,elite,6,High,Virgin,4,197,,167,167,12.56,0.72,1.534315377,,1.534315377
Norkodah,Norkodah,elite,6,High,Virgin,1,364,,202.1,202.1,12.22,0.84,1.856797231,,1.856797231
Norkodah,Norkodah,elite,6,High,Virgin,3,209,,,0,34.76,3.16,0,,0
Norkodah,Norkodah,elite,6,Low,Hancock,4,345,,63.84,63.84,3.4,0.35,1.165247019,,1.165247019
Norkodah,Norkodah,elite,6,Low,Hancock,2,358,,70.77,70.77,2.93,0.24,1.291737649,,1.291737649
Norkodah,Norkodah,elite,6,Low,Hancock,3,213,,94.5,94.5,2.1,1.23,1.724872232,,1.724872232
Norkodah,Norkodah,elite,6,Low,Sterile,1,79,,51.87,51.87,0.92,0.56,0.946763203,54.78666667,0.946763203
Norkodah,Norkodah,elite,6,Low,Sterile,3,228,,55.9,55.9,0.97,0.47,1.020321246,,1.020321246
Norkodah,Norkodah,elite,6,Low,Sterile,2,108,,56.59,56.59,0.57,0.23,1.032915551,,1.032915551
Norkodah,Norkodah,elite,6,Low,Virgin,1,254,,62.93,62.93,1.63,,1.148637138,,1.148637138
Norkodah,Norkodah,elite,6,Low,Virgin,3,354,,81.36,81.36,1.92,0.31,1.485032855,,1.485032855
Norkodah,Norkodah,elite,6,Low,Virgin,4,170,,81.82,81.82,2.13,0.29,1.493429058,,1.493429058
Norkodah,Norkodah,elite,6,Low,Virgin,2,173,Yellow,82.55,82.55,1.7,0.5,1.506753468,,1.506753468
Ranger,Ranger,elite,6,High,Hancock,4,298,,83.2,83.2,7.29,0.43,0.549223254,,0.549223254
Ranger,Ranger,elite,6,High,Hancock,2,35,,143.21,143.21,23.94,1.89,0.945363728,,0.945363728
Ranger,Ranger,elite,6,High,Sterile,3,299,,118.12,118.12,9.64,1.55,0.779738591,151.4866667,0.779738591
Ranger,Ranger,elite,6,High,Sterile,1,63,,137.78,137.78,21.09,4.13,0.90951899,,0.90951899
Ranger,Ranger,elite,6,High,Sterile,2,162,,198.56,198.56,17.79,3.45,1.31074242,,1.31074242
Ranger,Ranger,elite,6,High,Virgin,3,247,,180.09,180.09,6.86,1.09,1.188817498,,1.188817498
Ranger,Ranger,elite,6,High,Virgin,1,12,,181.68,181.68,17.66,3.14,1.199313471,,1.199313471
Ranger,Ranger,elite,6,High,Virgin,4,120,,193.56,193.56,15.96,2.12,1.277736214,,1.277736214
Ranger,Ranger,elite,6,High,Virgin,2,136,,228.93,228.93,20.69,2.17,1.51122211,,1.51122211
Ranger,Ranger,elite,6,Low,Hancock,1,51,,44.27,44.27,1.45,0.37,0.932049055,,0.932049055
Ranger,Ranger,elite,6,Low,Hancock,3,90,,46.76,46.76,2.01,0.45,0.984472867,,0.984472867
Ranger,Ranger,elite,6,Low,Hancock,2,282,,52.94,52.94,1.75,52.01,1.114584978,,1.114584978
Ranger,Ranger,elite,6,Low,Hancock,4,96,,62.21,62.21,1.51,0.55,1.309753145,,1.309753145
Ranger,Ranger,elite,6,Low,Sterile,1,152,,39.26,39.26,1.43,0.42,0.826569819,47.4975,0.826569819
Ranger,Ranger,elite,6,Low,Sterile,3,133,,70.37,70.37,2.32,2.11,1.481551661,,1.481551661
Ranger,Ranger,elite,6,Low,Sterile,4,291,,80.36,80.36,2.22,0.83,1.69187852,,1.69187852
Ranger,Ranger,elite,6,Low,Sterile,2,302,,,0,1.72,0.76,0,,0
Ranger,Ranger,elite,6,Low,Virgin,3,144,,39.2,39.2,1.81,0.32,0.825306595,,0.825306595
Ranger,Ranger,elite,6,Low,Virgin,2,235,,40.89,40.89,1.25,0.4,0.860887415,,0.860887415
Ranger,Ranger,elite,6,Low,Virgin,4,195,,68.95,68.95,1.56,0.66,1.45165535,,1.45165535
Snowden,Snowden,elite,6,High,Hancock,2,384,,55.14,55.14,21.88,6.82,1.160903205,,1.160903205
Snowden,Snowden,elite,6,High,Hancock,1,168,,123.83,123.83,20.12,8.84,1.579363561,,1.579363561
Snowden,Snowden,elite,6,High,Hancock,3,258,,177,177,20.9,5.31,2.257509087,,2.257509087
Snowden,Snowden,elite,6,High,Sterile,2,1,,10.66,10.66,20.24,3.74,0.135960717,78.405,0.135960717
Snowden,Snowden,elite,6,High,Sterile,3,275,,77.9,77.9,21.41,4.79,0.993559084,,0.993559084
Snowden,Snowden,elite,6,High,Sterile,4,395,,85.04,85.04,24.69,5.68,1.084624705,,1.084624705
Snowden,Snowden,elite,6,High,Sterile,1,321,,140.02,140.02,16.51,9,1.785855494,,1.785855494
Snowden,Snowden,elite,6,High,Virgin,1,73,,67.48,67.48,18.8,8.08,0.860659397,,0.860659397
Snowden,Snowden,elite,6,High,Virgin,2,366,,100.3,100.3,29.98,9.91,1.27925515,,1.27925515
Snowden,Snowden,elite,6,High,Virgin,4,186,,149.13,149.13,21.17,6.24,1.902047063,,1.902047063
Snowden,Snowden,elite,6,High,Virgin,3,387,,,0,24.45,9.52,0,,0
Snowden,Snowden,elite,6,Low,Hancock,2,236,,67.47,67.47,1.21,0.66,3.543592437,,3.543592437
Snowden,Snowden,elite,6,Low,Hancock,3,199,,86.77,86.77,2.16,1.01,4.557247899,,4.557247899
Snowden,Snowden,elite,6,Low,Hancock,4,267,Dead,,,,,,,
Snowden,Snowden,elite,6,Low,Hancock,1,165,,,0,3.89,2.31,0,,0
Snowden,Snowden,elite,6,Low,Sterile,2,237,,76.16,76.16,1.81,1.37,4,19.04,4
Snowden,Snowden,elite,6,Low,Sterile,4,183,,,0,1.29,0.57,0,,0
Snowden,Snowden,elite,6,Low,Sterile,3,137,,,0,1.98,1.91*,0,,0
Snowden,Snowden,elite,6,Low,Sterile,1,226,,,0,1.29,0.51,0,,0
Snowden,Snowden,elite,6,Low,Virgin,4,94,,,0,2.47,1.86,0,,0
Snowden,Snowden,elite,6,Low,Virgin,1,107,,,0,1.58,1.53,0,,0
Snowden,Snowden,elite,6,Low,Virgin,2,106,,,0,1.8,0.91,0,,0
Snowden,Snowden,elite,6,Low,Virgin,3,208,,,0,1.58,0.35,0,,0
