Variety,variety2,Clade,agerank,Nutrient,soil,rep,id,Notes:,tuber,tuber2,shoot,root,,,reltub
WAC 5,WAC 5,and,2,Low,Virgin,2,324,,21.83,21.83,8.31,3.55,0.95745614,,0.95745614
WAC 5,WAC 5,and,2,Low,Virgin,4,215,,60.42,60.42,4.45,7.4,2.65,,2.65
WAC 5,WAC 5,and,2,Low,Virgin,3,281,,63.57,63.57,4.43,4.91,2.788157895,,2.788157895
WAC 663,WAC 663,and,2,High,Hancock,4,194,,7.26,7.26,30.66,11.8,#DIV/0!,,
WAC 663,WAC 663,and,2,High,Hancock,2,112,wilting,,,,,#DIV/0!,,
WAC 663,WAC 663,and,2,High,Hancock,1,169,,,0,42.8,10.97,#DIV/0!,,
WAC 663,WAC 663,and,2,High,Hancock,3,400,,,0,28.24,5.71,#DIV/0!,,
WAC 663,WAC 663,and,2,High,Sterile,1,5,Dead,,,,,#DIV/0!,0,
WAC 663,WAC 663,and,2,High,Sterile,4,83,,,0,26.91,9.4,#DIV/0!,,
WAC 663,WAC 663,and,2,High,Sterile,2,240,,,0,36.8,14.87,#DIV/0!,,
WAC 663,WAC 663,and,2,High,Virgin,4,13,,,0,25.12,6.37,#DIV/0!,,
WAC 663,WAC 663,and,2,High,Virgin,1,93,,,0,34.23,5.22,#DIV/0!,,
WAC 663,WAC 663,and,2,Low,Hancock,1,357,,26.47,26.47,8.74,1.12,2.159494187,,2.159494187
WAC 663,WAC 663,and,2,Low,Hancock,3,231,,36.15,36.15,5.41,1.8,2.949214766,,2.949214766
WAC 663,WAC 663,and,2,Low,Hancock,2,373,Dead,,,2.15,,0,,0
WAC 663,WAC 663,and,2,Low,Sterile,1,9,,8.83,8.83,3.4,0.62,0.72037528,12.2575,0.72037528
WAC 663,WAC 663,and,2,Low,Sterile,2,70,Yellow,15.07,15.07,3.46,1.12,1.229451356,,1.229451356
WAC 663,WAC 663,and,2,Low,Sterile,4,99,,25.13,25.13,5.16,1.2,2.050173363,,2.050173363
WAC 663,WAC 663,and,2,Low,Sterile,3,374,,,0,5.24,0.67,0,,0
WAC 663,WAC 663,and,2,Low,Virgin,4,178,,10.44,10.44,2.97,0.34,0.851723435,,0.851723435
WAC 663,WAC 663,and,2,Low,Virgin,1,295,,21.09,21.09,4.6,2.1,1.720579237,,1.720579237
WAC 663,WAC 663,and,2,Low,Virgin,3,176,Yellow,21.52,21.52,3.32,1.5,1.7556598,,1.7556598
WAC 663,WAC 663,and,2,Low,Virgin,2,260,,48.04,48.04,2.62,1.96,3.919233123,,3.919233123
Wac 735,Wac 735,and,2,High,Hancock,2,362,,46.15,46.15,18.23,1.77,7.950043066,,7.950043066
Wac 735,Wac 735,and,2,High,Hancock,3,104,,,0,26.5,19.85,0,,0
Wac 735,Wac 735,and,2,High,Hancock,1,121,,,0,34.44,25.52,0,,0
Wac 735,Wac 735,and,2,High,Hancock,4,381,,,0,30.8,8.94,0,,0
Wac 735,Wac 735,and,2,High,Sterile,3,334,,23.22,23.22,30.01,4.39,4,5.805,4
Wac 735,Wac 735,and,2,High,Sterile,1,62,,,0,37.39,13.95,0,,0
Wac 735,Wac 735,and,2,High,Sterile,4,180,,,0,26.24,22.72,0,,0
Wac 735,Wac 735,and,2,High,Sterile,2,265,,,0,21.39,8.28,0,,0
Wac 735,Wac 735,and,2,High,Virgin,4,276,,0.22,0.22,24.52,6.46,0.037898363,,0.037898363
Wac 735,Wac 735,and,2,High,Virgin,3,7,,,0,34.96,7.02,0,,0
Wac 735,Wac 735,and,2,High,Virgin,1,155,,,0,31.69,15.56,0,,0
Wac 735,Wac 735,and,2,High,Virgin,2,171,,,0,33.87,13.25,0,,0
Wac 735,Wac 735,and,2,Low,Hancock,4,25,,6.61,6.61,7.83,2.88,0.226758148,,0.226758148
